Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is NOT a recognized risk factor for postpartum haemorrhage?,Prolonged labour,Episiotomy,Low birth weight,Multiple pregnancy,Low birth weight
Which of the following is the most appropriate management for postpartum haemorrhage due to amniotic fluid embolism?,Supportive care,Oxytocin infusion,Ergometrine,Manual removal of placenta,Supportive care
Which of the following is the most common cause of maternal death from postpartum haemorrhage worldwide?,Uterine atony,Coagulopathy,Retained placenta,Trauma,Uterine atony
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony unresponsive to medical therapy?,Uterine artery ligation,Manual removal of placenta,Ergometrine,Oxytocin,Uterine artery ligation
Which of the following is the most appropriate management for postpartum haemorrhage due to retained placenta with heavy bleeding?,Manual removal of placenta,Observation,Antibiotics only,Oxytocin infusion,Manual removal of placenta
Which of the following is NOT a recognized complication of surgical management of postpartum haemorrhage?,Infection,Bowel injury,Bladder injury,Hyperthyroidism,Hyperthyroidism
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with asthma?,Carboprost,Ergometrine,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with hypertension?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with cardiac disease?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine surgery?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous postpartum haemorrhage?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous retained placenta?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine inversion?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine rupture?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine artery ligation?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous B-Lynch suture?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous hysterectomy?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine artery embolization?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine balloon tamponade?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine artery embolization?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine balloon tamponade?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine artery ligation?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous B-Lynch suture?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous hysterectomy?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine rupture?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine inversion?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous retained placenta?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous postpartum haemorrhage?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine surgery?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with cardiac disease?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with hypertension?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with asthma?,Carboprost,Ergometrine,Oxytocin,Misoprostol,Oxytocin
