Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is the most appropriate secondary prevention for a patient with atrial fibrillation and prior ischemic stroke?,Aspirin,Clopidogrel,Warfarin,Statin,Warfarin
Which of the following is the best predictor for hemorrhagic transformation after ischemic stroke?,Small infarct size,Early aspirin use,Large infarct size,Low blood pressure,Large infarct size
Which of the following is a common cause of stroke in patients with sickle cell disease?,Hypertension,Cardioembolism,Large vessel vasculopathy,Small vessel disease,Large vessel vasculopathy
Which of the following is NOT a recognized risk factor for stroke?,Hypertension,Hyperlipidemia,Obesity,Hyperthyroidism,Hyperthyroidism
Which of the following is a typical presentation of a posterior cerebral artery stroke?,Aphasia,Contralateral homonymous hemianopia,Contralateral leg weakness,Neglect,Contralateral homonymous hemianopia
Which of the following is the most common cause of cerebral venous sinus thrombosis?,Pregnancy,Trauma,Hypertension,Diabetes mellitus,Pregnancy
Which of the following is the most appropriate initial management for a patient with suspected subarachnoid hemorrhage and normal CT?,Start IV heparin,Perform lumbar puncture,Administer tPA,Start aspirin,Perform lumbar puncture
Which of the following is the most common cause of death in subarachnoid hemorrhage survivors?,Rebleeding,Hydrocephalus,Vasospasm,Seizure,Vasospasm
Which of the following is a typical feature of a left middle cerebral artery stroke in a right-handed patient?,Left facial droop,Right hemiparesis and aphasia,Left hemiparesis and neglect,Right facial numbness,Right hemiparesis and aphasia
Which of the following is the most appropriate blood pressure management for a patient with acute ischemic stroke NOT eligible for tPA?,Lower BP to <140/90 mmHg,Lower BP to <120/80 mmHg,Lower BP only if >220/120 mmHg,Start IV nitroprusside,Lower BP only if >220/120 mmHg
Which of the following is the most common cause of death in the first week following massive cerebral infarction?,Pulmonary embolism,Myocardial infarction,Transtentorial herniation,Sepsis,Transtentorial herniation
Which of the following is the most common cause of hemorrhagic transformation after ischemic stroke?,Early aspirin use,Large infarct size,Low cholesterol,Statin therapy,Large infarct size
Which of the following is the most likely cause of sudden onset quadriplegia and preserved consciousness?,Basilar artery thrombosis,Anterior cerebral artery infarct,Middle cerebral artery infarct,Posterior cerebral artery infarct,Basilar artery thrombosis
Which of the following is the best initial diagnostic test for suspected carotid artery stenosis?,Carotid angiography,Carotid duplex ultrasound,MR angiography,CT perfusion,Carotid duplex ultrasound
Which of the following is the most appropriate antithrombotic therapy for a patient with a mechanical heart valve and prior stroke?,Aspirin,Clopidogrel,Warfarin,Statin,Warfarin
Which of the following is most likely to cause a "locked-in" syndrome?,Pontine infarction,Thalamic infarct,Medullary infarct,Temporal lobe infarct,Pontine infarction
Which of the following is the most important modifiable risk factor for primary prevention of stroke?,Age,Sex,Hypertension,Family history,Hypertension
Which of the following is the most common site of atherothrombotic stroke?,Posterior cerebral artery,Middle cerebral artery,Anterior cerebral artery,Basilar artery,Middle cerebral artery
Which of the following is the most common cause of death in patients with intracerebral hemorrhage?,Seizure,Rebleeding,Brain herniation,Deep vein thrombosis,Brain herniation
Which of the following is the most appropriate management for a patient with cerebellar hemorrhage and signs of brainstem compression?,IV tPA,Immediate surgical decompression,IV mannitol only,Start aspirin,Immediate surgical decompression
Which of the following is the most common cause of vascular dementia?,Multiple lacunar infarcts,Single large infarct,Subarachnoid hemorrhage,Hypertensive encephalopathy,Multiple lacunar infarcts
Which of the following is the most appropriate initial management for a patient with acute ischemic stroke and known sickle cell disease?,IV tPA,Exchange transfusion,IV heparin,IV mannitol,Exchange transfusion
Which of the following is the most common cause of transient monocular blindness (amaurosis fugax)?,Retinal vein occlusion,Retinal artery embolism,Optic neuritis,Temporal arteritis,Retinal artery embolism
Which of the following is the most appropriate management for a patient with acute ischemic stroke and severe hypoxia?,Start aspirin,Administer supplemental oxygen,Start IV heparin,Start IV tPA,Administer supplemental oxygen
Which of the following is the most common cause of death in patients with subacute stroke?,Seizure,Infection,Recurrent stroke,Renal failure,Infection
Which of the following is the most appropriate secondary prevention for a patient with non-cardioembolic ischemic stroke?,Aspirin,Warfarin,IV tPA,IVIG,Aspirin
Which of the following is the most common cause of cerebral amyloid angiopathy?,Hypertension,Advanced age,Diabetes mellitus,Hyperlipidemia,Advanced age
Which of the following is the most appropriate management for a patient with acute ischemic stroke and blood glucose of 45 mg/dL?,Start aspirin,Administer IV dextrose,Start IV heparin,Administer IV tPA,Administer IV dextrose
Which of the following is the most common cause of early recurrent stroke after TIA?,Carotid artery stenosis,Hypertension,Diabetes mellitus,Hyperlipidemia,Carotid artery stenosis
Which of the following is the most appropriate management for a patient with acute stroke and persistent vomiting?,Start oral aspirin,Start IV tPA,Insert nasogastric tube for medication,Wait until vomiting resolves,Insert nasogastric tube for medication
Which of the following is the most common cause of death in patients with large hemispheric infarction?,Seizure,Brain herniation,Recurrent stroke,Myocardial infarction,Brain herniation
Which of the following is the most appropriate management for a patient with acute ischemic stroke and fever?,Start IV tPA,Administer acetaminophen,Start IV heparin,Start aspirin,Administer acetaminophen
Which of the following is the most common site for cerebral embolism to lodge?,Anterior cerebral artery,Middle cerebral artery,Posterior cerebral artery,Basilar artery,Middle cerebral artery
Which of the following is the most appropriate management for a patient with acute ischemic stroke and severe hypertension not eligible for tPA?,Lower BP to <140/90 mmHg,Lower BP only if >220/120 mmHg,Lower BP to <120/80 mmHg,Start IV tPA,Lower BP only if >220/120 mmHg
Which of the following is the most common cause of stroke in children?,Sickle cell disease,Hypertension,Diabetes mellitus,Hyperlipidemia,Sickle cell disease
Which of the following is the most appropriate management for a patient with acute ischemic stroke and recent major surgery?,Start IV tPA,Start aspirin,Start IV heparin,Start IV mannitol,Start aspirin
Which of the following is the most common cause of death in patients with cerebellar infarction?,Hydrocephalus,Brainstem compression,Recurrent stroke,Myocardial infarction,Brainstem compression
Which of the following is the most appropriate management for a patient with acute ischemic stroke and suspected aspiration?,Start IV tPA,Start oral aspirin,Start IV antibiotics,Start IV heparin,Start IV antibiotics
Which of the following is the most common cause of stroke in pregnancy?,Hypertension,Cardioembolism,Venous sinus thrombosis,Diabetes mellitus,Venous sinus thrombosis
Which of the following is the most appropriate management for a patient with acute ischemic stroke and seizure at onset?,Start IV tPA,Start IV phenytoin,Start IV mannitol,Start aspirin,Start IV phenytoin
Which of the following is the most common cause of death in patients with pontine hemorrhage?,Seizure,Respiratory failure,Recurrent stroke,Myocardial infarction,Respiratory failure
Which of the following is the most appropriate management for a patient with acute ischemic stroke and severe hyperglycemia?,Start IV tPA,Start IV insulin,Start aspirin,Start IV mannitol,Start IV insulin
Which of the following is the most common cause of stroke in the elderly?,Atrial fibrillation,Hypertension,Diabetes mellitus,Carotid dissection,Atrial fibrillation
Which of the following is the most appropriate management for a patient with acute ischemic stroke and severe anemia?,Start IV tPA,Start IV blood transfusion,Start aspirin,Start IV mannitol,Start IV blood transfusion
Which of the following is the most common cause of death in patients with thalamic hemorrhage?,Seizure,Brain herniation,Recurrent stroke,Myocardial infarction,Brain herniation
Which of the following is the most appropriate management for a patient with acute ischemic stroke and severe hypokalemia?,Start IV tPA,Start IV potassium replacement,Start aspirin,Start IV mannitol,Start IV potassium replacement
Which of the following is the most common cause of death in patients with brainstem infarction?,Respiratory failure,Recurrent stroke,Seizure,Myocardial infarction,Respiratory failure
Which of the following is the most appropriate management for a patient with acute ischemic stroke and severe hyponatremia?,Start IV tPA,Start IV hypertonic saline,Start aspirin,Start IV mannitol,Start IV hypertonic saline
Which of the following is the most common cause of death in patients with large putaminal hemorrhage?,Seizure,Brain herniation,Recurrent stroke,Myocardial infarction,Brain herniation
Which of the following is the most appropriate management for a patient with acute ischemic stroke and severe hypercalcemia?,Start IV tPA,Start IV fluids and bisphosphonates,Start aspirin,Start IV mannitol,Start IV fluids and bisphosphonates
Which of the following is the most common cause of death in patients with massive subarachnoid hemorrhage?,Rebleeding,Vasospasm,Hydrocephalus,Seizure,Rebleeding
Which of the following is the most appropriate management for a patient with acute ischemic stroke and severe hypomagnesemia?,Start IV tPA,Start IV magnesium replacement,Start aspirin,Start IV mannitol,Start IV magnesium replacement
Which of the following is the most common cause of death in patients with massive cerebral infarction?,Brain herniation,Recurrent stroke,Seizure,Myocardial infarction,Brain herniation
Which of the following is the most appropriate management for a patient with acute ischemic stroke and severe hypophosphatemia?,Start IV tPA,Start IV phosphate replacement,Start aspirin,Start IV mannitol,Start IV phosphate replacement
Which of the following is the most common cause of death in patients with large thalamic hemorrhage?,Seizure,Brain herniation,Recurrent stroke,Myocardial infarction,Brain herniation
Which of the following is the most appropriate management for a patient with acute ischemic stroke and severe hypothermia?,Start IV tPA,Rewarm patient,Start aspirin,Start IV mannitol,Rewarm patient
Which of the following is the most common cause of death in patients with massive brainstem infarction?,Respiratory failure,Recurrent stroke,Seizure,Myocardial infarction,Respiratory failure
Which of the following is the most appropriate management for a patient with acute ischemic stroke and severe hyperthermia?,Start IV tPA,Administer acetaminophen and cooling,Start aspirin,Start IV mannitol,Administer acetaminophen and cooling
Which of the following is the most common cause of death in patients with large cerebellar infarction?,Hydrocephalus,Brainstem compression,Recurrent stroke,Myocardial infarction,Brainstem compression
Which of the following is the most appropriate management for a patient with acute ischemic stroke and severe hypovolemia?,Start IV tPA,Start IV fluids,Start aspirin,Start IV mannitol,Start IV fluids
Which of the following is the most common cause of death in patients with massive pontine hemorrhage?,Seizure,Respiratory failure,Recurrent stroke,Myocardial infarction,Respiratory failure
Which of the following is the most appropriate management for a patient with acute ischemic stroke and severe hypervolemia?,Start IV tPA,Restrict fluids,Start aspirin,Start IV mannitol,Restrict fluids
Which of the following is the most common cause of death in patients with massive thalamic hemorrhage?,Seizure,Brain herniation,Recurrent stroke,Myocardial infarction,Brain herniation
