Question,Option A,Option B,Option C,Option D,Correct Answer
What is the main clinical difference between ABO and Rh incompatibility in neonates?,ABO causes hyperbilirubinemia,ABO causes hydrops fetalis,Rh causes hydrops fetalis,Rh causes hyperbilirubinemia,ABO causes hyperbilirubinemia
Which test is used to detect maternal antibodies against fetal RBC antigens?,Direct Coombs test,Complete blood count,Blood culture,Indirect Coombs test,Indirect Coombs test
What is the typical antibody class in type O mothers that causes ABO hemolytic disease?,IgE only,IgM only,IgA only,IgG only,IgG only
What is the effect of fetomaternal hemorrhage volume on Rh sensitization?,Only affects ABO sensitization,Higher volume increases risk,Lower volume increases risk,No effect,Higher volume increases risk
Which Rh antigen is most commonly absent in Rh-negative individuals?,e,E,D,C,D
What is the purpose of anti-D prophylaxis in pregnancy?,Treat fetal anemia,Prevent Rh sensitization,Increase antibody production,Prevent ABO incompatibility,Prevent Rh sensitization
Which antibody subclass is poorly transferred across the placenta and less efficient in causing hemolysis?,IgG1,IgG3,IgG4,IgG2,IgG2
What is the typical treatment to prevent Rh alloimmunization?,Phototherapy,Exchange transfusion,Anti-D immunoglobulin,Intravenous immunoglobulin,Anti-D immunoglobulin
Which antigen is not expressed on RBC progenitors?,Rh antigen,Kell antigen,ABO antigen,Duffy antigen,Rh antigen
What is the most common cause of positive direct Coombs test in neonates?,ABO incompatibility,Duffy incompatibility,Kell incompatibility,Rh incompatibility,Rh incompatibility
Which antibody subclass predominates in ABO incompatible neonates with direct Coombs positivity?,IgG4,IgG2,IgG1,IgG3,IgG2
What is the typical presentation of ABO incompatibility in neonates?,Hepatosplenomegaly with anemia,No symptoms,Hyperbilirubinemia with spherocytes,Severe anemia with erythroblastosis fetalis,Hyperbilirubinemia with spherocytes
Which gene deletion is most common cause of Rh-negative phenotype in Whites?,Kell gene deletion,RHD gene deletion,Duffy gene deletion,RHCE gene deletion,RHD gene deletion
What is the typical risk of Rh sensitization after abortion?,10-15%,20-25%,2-5%,30-35%,2-5%
Which antigen system is encoded by two separate genes on chromosome 1?,ABO system,Rh system,Kell system,Duffy system,Rh system
What is the effect of ABO incompatibility on fetal RBC survival in maternal circulation?,Rapid destruction,No effect,Prolonged survival,Variable effect,Rapid destruction
Which antibody class is responsible for primary immune response in Rh sensitization?,IgE,IgM,IgG,IgA,IgM
What is the main difference in antigen expression between Rh and ABO systems?,ABO antigens increase during RBC maturation,Rh antigens expressed on many tissues,Rh antigens increase during RBC maturation,ABO antigens absent on RBCs,Rh antigens increase during RBC maturation
Which antibody subclass is most commonly involved in causing hemolysis in Rh incompatibility?,IgG4,IgG1,IgG3,IgG2,IgG3
What is the frequency of Rh-negative phenotype in most Whites?,45%,55%,15%,70%,15%
Which test is used to detect fetomaternal hemorrhage volume?,Kleihauer-Betke test,Indirect Coombs test,Direct Coombs test,Complete blood count,Kleihauer-Betke test
What is the typical clinical feature of severe Rh incompatibility?,Isolated anemia,No symptoms,Mild jaundice,Hydrops fetalis,Hydrops fetalis
Which antibody subclass has a longer hinge region enhancing hemolysis?,IgG4,IgG1,IgG3,IgG2,IgG3
What is the main reason ABO incompatibility rarely causes severe anemia?,Low antigen density on fetal RBCs,Low antibody titer,IgM antibodies involved,No placental transfer of antibodies,Low antigen density on fetal RBCs
Which blood group incompatibility is more common in first pregnancies?,Kell incompatibility,Rh incompatibility,ABO incompatibility,Duffy incompatibility,ABO incompatibility
What is the typical antibody titer in type O mothers causing ABO hemolysis?,High IgG titer,High IgM titer,Low IgM titer,Low IgG titer,High IgG titer
Which Rh gene complex is most frequent among Whites?,cDe,cde,CDe,CDE,cDe
What is the effect of a hybrid RHD-CE-D gene?,Increases antibody production,Rh positive genotype with negative phenotype,Rh negative genotype with positive phenotype,No effect,Rh positive genotype with negative phenotype
What is the typical Coombs test result in ABO incompatibility?,Positive in 80-90% cases,Always negative,Positive in 20-40% cases,Always positive,Positive in 20-40% cases
Which antibody subclass predominates in Rh sensitization primary response?,IgG4,IgG2,IgG3,IgG1,IgG3
What is the main clinical difference between ABO and Rh incompatibility blood films?,ABO shows spherocytes, Rh shows nucleated RBCs,ABO shows nucleated RBCs, Rh shows spherocytes,Both show spherocytes
Which antibody subclass is predominant in secondary immune response to Rh antigen?,IgG1,IgG4,IgG3,IgG2,IgG1
What is the main antigenic difference between Rh positive and Rh negative individuals?,Presence or absence of E antigen,Presence or absence of C antigen,Presence or absence of D antigen,Presence or absence of e antigen,Presence or absence of D antigen
Which antibody class is responsible for hemolysis in ABO incompatibility in type O mothers?,IgA,IgE,IgG,IgM,IgG
What is the typical presentation of ABO incompatibility in neonates?,Severe anemia with erythroblastosis fetalis,Mild anemia with no jaundice,Hyperbilirubinemia with spherocytes,Hepatosplenomegaly with anemia,Hyperbilirubinemia with spherocytes
What is the typical risk of Rh sensitization after delivery of an ABO incompatible fetus?,2%,16%,5%,22%,2%
Which antibody subclass is predominant in ABO incompatible neonates causing hemolysis?,IgG1,IgG3,IgG4,IgG2,IgG2
What is the typical mechanism of Rh alloimmunization?,Maternal exposure to fetal ABO incompatible RBCs,Maternal exposure to fetal Rh positive RBCs,Infection,Autoimmune disease,Maternal exposure to fetal Rh positive RBCs
Which antibody class cannot cross the placenta?,IgA,IgE,IgM,IgG,IgM
What is the typical clinical presentation of Rh hemolytic disease?,Mild jaundice only,Hydrops fetalis with severe anemia,Hepatosplenomegaly without anemia,No symptoms,Hydrops fetalis with severe anemia
Which antigen system includes C, c, E, e, and D antigens?,Rh system
What is the typical management to prevent Rh sensitization?,Anti-D immunoglobulin administration,Intravenous immunoglobulin,Exchange transfusion,Phototherapy,Anti-D immunoglobulin administration
Which antibody subclass is less efficient in causing hemolysis and poorly transferred across the placenta?,IgG1,IgG4,IgG2,IgG3,IgG2
What is the typical risk of Rh sensitization after abortion?,10-15%,30-35%,20-25%,2-5%,2-5%
Which antibody subclass predominates in primary Rh immune response?,IgG3,IgG2,IgG4,IgG1,IgG3
What is the typical blood film finding in Rh incompatibility?,Few spherocytes,Many spherocytes and few erythroblasts,Few erythroblasts and many spherocytes,Many nucleated RBCs,Many nucleated RBCs
Which blood group incompatibility is most likely to cause positive direct Coombs test?,ABO incompatibility,Duffy incompatibility,Kell incompatibility,Rh incompatibility,Rh incompatibility
What is the typical effect of ABO incompatibility on Rh immunization risk?,Only affects first pregnancy,No effect,Increases risk,Decreases risk,Decreases risk
Which antibody subclass is predominant in severe hemolysis in Rh incompatibility?,IgG1,IgG3,IgG4,IgG2,IgG3
What is the typical clinical manifestation of ABO incompatibility?,Severe anemia with erythroblastosis fetalis,Mild anemia with no jaundice,Hyperbilirubinemia with spherocytes,Hepatosplenomegaly with anemia,Hyperbilirubinemia with spherocytes
Which gene deletion is most common cause of Rh-negative phenotype in Whites?,Kell gene deletion,Duffy gene deletion,RHCE gene deletion,RHD gene deletion,RHD gene deletion
What is the typical risk of Rh sensitization after delivery of an ABO incompatible fetus?,5%,16%,22%,2%,2%
Which antibody class is responsible for hemolysis in ABO incompatibility in type O mothers?,IgG,IgM,IgE,IgA,IgG
