Question,Option A,Option B,Option C,Option D,Correct Answer
What is the role of corticosteroids in preterm PROM?,Enhance fetal lung maturity,Prevent infection,Induce labor,Reduce maternal fever,Enhance fetal lung maturity
Which complication is associated with prolonged PROM?,Sepsis,Placenta previa,Pre-eclampsia,Gestational diabetes,Sepsis
What is the effect of PROM on amniotic fluid volume?,Usually decreased,Usually increased,No change,Variable,Usually decreased
Which is a risk factor for PROM?,Previous PROM,Nulliparity,Advanced maternal age,Obesity,Previous PROM
What is the typical presentation of PROM?,Sudden gush of fluid from vagina,Gradual bleeding,Abdominal pain,No symptoms,Sudden gush of fluid from vagina
Which diagnostic tool helps differentiate amniotic fluid from urine?,Creatinine test,Glucose test,Protein test,pH test,Creatinine test
What is the significance of a negative fern test?,No amniotic fluid leakage,Positive infection,Membrane rupture confirmed,False positive test,No amniotic fluid leakage
What is the role of magnesium sulfate in PROM management?,Neuroprotection in preterm labor,Tocolysis,Antibiotic effect,Induce labor,Neuroprotection in preterm labor
Which fetal complication is associated with PROM before 34 weeks?,Pulmonary hypoplasia,Macrosomia,Neonatal jaundice,Hypoglycemia,Pulmonary hypoplasia
What is the main goal of PROM management at term?,Prevent infection and deliver safely,Delay delivery indefinitely,Avoid cesarean section,Increase amniotic fluid volume,Prevent infection and deliver safely
Which maternal laboratory test is useful in suspected chorioamnionitis?,Complete blood count,Chemistry panel,Coagulation profile,Liver function tests,Complete blood count
What is the relationship between PROM and preterm labor?,PROM often precedes preterm labor,PROM prevents preterm labor,No relationship,Only occurs post-term,PROM often precedes preterm labor
Which is a common symptom of chorioamnionitis?,Maternal tachycardia,Fetal bradycardia,Maternal hypotension,Edema,Maternal tachycardia
What is the risk of neonatal sepsis with prolonged PROM?,Significantly increased,No increased risk,Decreased risk,Only increased with maternal fever,Significantly increased
Which is the most appropriate timing for delivery in preterm PROM without infection?,Expectant management until 34 weeks,Immediate delivery,Delivery at 28 weeks,Delivery at 37 weeks,Expectant management until 34 weeks
What is the role of amniotic fluid index in PROM?,Assess fetal well-being,Detect infection,Evaluate membrane rupture,Guide antibiotic therapy,Assess fetal well-being
Which is a contraindication to vaginal delivery in PROM?,Non-reassuring fetal heart rate,Previous vaginal delivery,Term pregnancy,No contraindications,Non-reassuring fetal heart rate
What is the effect of PROM on umbilical cord prolapse risk?,Increases risk,Decreases risk,No effect,Only affects twins,Increases risk
Which maternal symptom suggests uterine infection after PROM?,Foul-smelling vaginal discharge,Hypertension,Headache,Edema,Foul-smelling vaginal discharge
What is the usual management of PROM at term with no infection?,Labor induction,Antibiotics only,Cesarean section,Expectant management,Labor induction
Which fetal test is used to assess lung maturity in PROM?,Amniocentesis,Liver function test,Complete blood count,Ultrasound,Amniocentesis
What is the significance of oligohydramnios in PROM?,Associated with fetal compromise,Indicates infection,No clinical significance,Indicates gestational diabetes,Associated with fetal compromise
Which is a risk factor for PROM?,Cervical insufficiency,Diabetes,Hypertension,Obesity,Cervical insufficiency
What is the effect of PROM on risk of umbilical cord compression?,Increases risk,Decreases risk,No effect,Only affects post-term pregnancies,Increases risk
Which antibiotic regimen is recommended for PROM with GBS positive status?,Ampicillin and gentamicin,Vancomycin only,Ciprofloxacin and metronidazole,No antibiotics,Ampicillin and gentamicin
What is the role of tocolytics in PROM?,Generally avoided to prevent infection,Used routinely,Used to delay labor for 7 days,Used to induce labor,Generally avoided to prevent infection
Which fetal heart rate pattern suggests chorioamnionitis?,Tachycardia,Bradycardia,Variable decelerations,Sinusoidal pattern,Tachycardia
What is the typical maternal temperature in chorioamnionitis?,>38°C,38°C
Which is the most common cause of PROM?,Intrauterine infection,Pre-eclampsia,Gestational diabetes,Multiple gestation,Intrauterine infection
What is the role of corticosteroids in PROM before 34 weeks?,Reduce neonatal morbidity,Prevent infection,Induce labor,Prevent maternal fever,Reduce neonatal morbidity
Which is a sign of fetal compromise after PROM?,Decreased fetal movements,Increased fetal movements,No change,Fetal macrosomia,Decreased fetal movements
What is the role of amniotic fluid culture in PROM?,Detect infection,Assess fetal lung maturity,Assess membrane rupture,Guide labor induction,Detect infection
Which maternal condition increases PROM risk?,Low socioeconomic status,High blood pressure,Diabetes,Obesity,Low socioeconomic status
What is the typical latency period for labor after PROM at term?,Within 24 hours,Within 72 hours,Within 7 days,More than 7 days,Within 24 hours
Which is the first step in managing PROM?,Confirm diagnosis,Start antibiotics,Induce labor,Perform cesarean,Confirm diagnosis
What is the significance of a positive glucose test on vaginal fluid?,Indicates urine contamination,Indicates amniotic fluid,Indicates infection,Indicates blood contamination,Indicates urine contamination
Which is the most sensitive test for PROM?,Amnisure test,Nitrazine test,Fern test,Ultrasound,Amnisure test
What is the risk of neonatal respiratory distress syndrome with PROM?,Increased in preterm PROM,No risk,Only in term PROM,Only in post-term PROM,Increased in preterm PROM
Which is a common maternal complication of PROM?,Endometritis,Pre-eclampsia,Gestational diabetes,Placenta previa,Endometritis
What is the typical management for chorioamnionitis after PROM?,Broad-spectrum antibiotics,Immediate cesarean,Expectant management,No treatment,Broad-spectrum antibiotics
Which fetal complication is associated with prolonged PROM?,Sepsis,Macrosomia,Hypoglycemia,Jaundice,Sepsis
What is the effect of PROM on neonatal intensive care unit admission?,Increases risk,No effect,Decreases risk,Only affects preterm infants,Increases risk
Which maternal symptom is common in PROM?,Vaginal fluid leakage,Headache,Abdominal pain,Hypertension,Vaginal fluid leakage
What is the role of group B streptococcal prophylaxis in PROM?,Prevent neonatal sepsis,Prevent maternal infection,Prevent preterm labor,Prevent fetal distress,Prevent neonatal sepsis
What is the impact of PROM on cesarean delivery rates?,Increases rates,Decreases rates,No effect,Only affects preterm deliveries,Increases rates
Which is a risk factor for PROM?,History of cervical surgery,Diabetes,Hypertension,Obesity,History of cervical surgery
What is the effect of PROM on fetal infection risk?,Increases risk,No effect,Decreases risk,Only affects post-term pregnancies,Increases risk
Which is the most common cause of neonatal sepsis after PROM?,Ascending bacterial infection,Vertical viral transmission,Placental abruption,Umbilical cord prolapse,Ascending bacterial infection
What is the typical clinical sign of PROM on speculum exam?,Pooling of fluid in posterior fornix,No fluid seen,Bleeding only,Mass in vagina,Pooling of fluid in posterior fornix
Which is the best method to confirm PROM?,Amniotic fluid biochemical markers,Ultrasound,Fern test,Nitrazine test,Amniotic fluid biochemical markers
What is the effect of PROM on fetal mortality?,Increased risk,No effect,Decreased risk,Only affects preterm infants,Increased risk
Which is a contraindication to expectant management in PROM?,Chorioamnionitis,Fetal macrosomia,Gestational diabetes,Pre-eclampsia,Chorioamnionitis
What is the typical fetal heart rate in chorioamnionitis?,Tachycardia,Bradycardia,Normal,Variable decelerations,Tachycardia
What is the best timing for delivery in PROM with chorioamnionitis?,Immediate delivery,Expectant management,Delivery at term,Delayed delivery,Immediate delivery
Which is the most common organism causing chorioamnionitis?,Group B Streptococcus,Escherichia coli,Listeria monocytogenes,Staphylococcus aureus,Group B Streptococcus
What is the recommended antibiotic for GBS positive PROM?,Penicillin,Gentamicin,Vancomycin,Ciprofloxacin,Penicillin
What is the role of amniocentesis in PROM?,Diagnose infection,Assess fetal lung maturity,Confirm membrane rupture,Guide labor induction,Diagnose infection
Which maternal factor increases risk of PROM?,Smoking,Diabetes,Hypertension,Obesity,Smoking
What is the effect of PROM on uterine contractions?,Often initiates labor,Prevents labor,No effect,Delays labor,Often initiates labor
Which fetal complication is associated with PROM?,Neonatal sepsis,Macrosomia,Neonatal jaundice,Hypoglycemia,Neonatal sepsis
What is the first step in managing PROM?,Confirm diagnosis,Start antibiotics,Induce labor,Perform cesarean,Confirm diagnosis
Which is a common symptom of PROM?,Sudden gush of fluid from vagina,Gradual bleeding,Abdominal pain,No symptoms,Sudden gush of fluid from vagina
What is the role of corticosteroids in PROM?,Enhance fetal lung maturity,Prevent infection,Induce labor,Reduce maternal fever,Enhance fetal lung maturity
Which is the typical latency period for labor after PROM?,Within 24 hours,Within 72 hours,Within 7 days,More than 7 days,Within 24 hours
What is the risk of neonatal sepsis with prolonged PROM?,Significantly increased,No increased risk,Decreased risk,Only increased with maternal fever,Significantly increased
Which is the best monitoring method after PROM?,Continuous fetal heart rate monitoring,No monitoring needed,Weekly ultrasounds,Daily kick counts,Continuous fetal heart rate monitoring
What is the typical management of PROM at term?,Labor induction,Antibiotics only,Cesarean section,Expectant management,Labor induction
Which is the main maternal complication of PROM?,Chorioamnionitis,Pre-eclampsia,Gestational diabetes,Placenta previa,Chorioamnionitis
Which fetal complication is associated with PROM?,Neonatal sepsis,Macrosomia,Neonatal jaundice,Hypoglycemia,Neonatal sepsis
What is the effect of PROM on cesarean delivery rates?,Increases rates,Decreases rates,No effect,Only affects preterm deliveries,Increases rates
Which antibiotic is recommended for PROM with suspected infection?,Broad-spectrum antibiotics,Vancomycin only,Ciprofloxacin only,No antibiotics,Broad-spectrum antibiotics
What is the role of group B streptococcal prophylaxis in PROM?,Prevent neonatal sepsis,Prevent maternal infection,Prevent preterm labor,Prevent fetal distress,Prevent neonatal sepsis
Which is a contraindication to vaginal delivery in PROM?,Non-reassuring fetal heart rate,Previous vaginal delivery,Term pregnancy,No contraindications,Non-reassuring fetal heart rate
