Question,Option A,Option B,Option C,Option D,Correct Answer
The pelvic peritoneal cavity contains coils of:,Transverse colon and rectum,Ascending and descending colon,Cecum and jejunum,Ileum and sigmoid colon,Ileum and sigmoid colon
Which pelvic ligament attaches the transverse process of L5 to iliac crest?,Inguinal,Sacrotuberous,Iliolumbar,Sacrospinous,Iliolumbar
Which is NOT part of lateral pelvic walls?,Sacrospinous ligament,Sacrotuberous ligament,Piriformis,Obturator internus,Sacrospinous ligament
Which muscle surrounds the urethra in the urogenital diaphragm?,Sphincter urethrae,Ischiocavernosus,Bulbospongiosus,Deep transverse perineal,Sphincter urethrae
The ischioanal fossa is mainly filled with:,Fat and connective tissue,Blood vessels,Nerve bundles,Muscle fibers,Fat and connective tissue
Which muscle originates from the ischial spine?,Coccygeus,Piriformis,Levator ani,Obturator internus,Coccygeus
The superior vesical artery arises from:,Internal pudendal artery,Common iliac artery,Umbilical artery,External iliac artery,Umbilical artery
Which nerve passes through the greater sciatic foramen?,Sciatic nerve,Femoral nerve,Pudendal nerve,Obturator nerve,Sciatic nerve
The perineal membrane is a thick fascia of which triangle?,Ischioanal fossa,Pelvic diaphragm,Urogenital triangle,Anal triangle,Urogenital triangle
The deep perineal pouch contains:,Gluteus maximus,Ischiocavernosus,External anal sphincter,Sphincter urethrae,Sphincter urethrae
Which is the main vein draining the pelvis?,Common iliac vein,Internal iliac vein,External iliac vein,Femoral vein,Internal iliac vein
Which muscle forms part of the pelvic brim?,Obturator internus,Piriformis,Gluteus medius,Iliopsoas,Iliopsoas
Which ligament limits pelvic outlet posteriorly?,Sacrospinous,Sacrotuberous,Iliofemoral,Inguinal,Sacrotuberous
The puborectalis muscle is part of the:,Coccygeus,Piriformis,Obturator internus,Levator ani,Levator ani
Which artery supplies the prostate gland?,Middle rectal artery,Superior vesical artery,Inferior vesical artery,Internal pudendal artery,Inferior vesical artery
The ischioanal fossa lies lateral to:,Anal canal,Rectum,Urinary bladder,Vagina,Anal canal
Which structure is NOT part of male external genitalia?,Prostate,Urethra,Penis,Scrotum,Prostate
Which nerve innervates the external anal sphincter?,Pudendal nerve,Obturator nerve,Sciatic nerve,Femoral nerve,Pudendal nerve
The perineal body is located between:,Anal canal and urethra,Anal canal and vagina,Vagina and urethra,Urethra and vagina,Anal canal and vagina
Which muscle forms the pelvic diaphragm?,Levator ani,Gluteus maximus,Piriformis,Obturator internus,Levator ani
The urethra passes through which muscle group in males?,Levator ani,Coccygeus,Sphincter urethrae,Obturator internus,Sphincter urethrae
Which structure forms the superior boundary of the perineum?,Pelvic diaphragm,Perineal membrane,Sacrospinous ligament,Urogenital diaphragm,Perineal membrane
The male urethra is divided into how many parts?,3,4,2,5,4
Which nerve innervates the levator ani?,S5-S1,L3-L5,L1-L3,S2-S4,S2-S4
Which ligament attaches to the ischial spine?,Iliofemoral,Sacrotuberous,Sacrospinous,Inguinal,Sacrospinous
Which artery supplies the urethra in males?,Internal pudendal,External pudendal,Inferior gluteal,Superior rectal,Internal pudendal
Where does the obturator internus muscle insert?,Linea aspera,Iliac crest,Lesser trochanter,Greater trochanter,Greater trochanter
Which bone does NOT contribute to the pelvic girdle?,Femur,Sacrum,Hip bone,Coccyx,Femur
Which ligament completes the lesser sciatic notch?,Iliofemoral,Sacrotuberous,Sacrospinous,Inguinal,Sacrospinous
The greater sciatic foramen is formed by the sacrospinous ligament and which bone?,Sacrum,Pubis,Ischium,Ilium,Sacrum
Which muscle acts primarily as an external anal sphincter?,Coccygeus,Levator ani,Puborectalis,External anal sphincter,External anal sphincter
Which structure is crossed by the ureter in the pelvis?,Internal iliac artery,Common iliac artery,Femoral artery,External iliac artery,Common iliac artery
The dorsal nerve of the penis is a branch of:,Femoral nerve,Pudendal nerve,Sciatic nerve,Obturator nerve,Pudendal nerve
Which ligament attaches the sacrum to the ischial tuberosity?,Sacrotuberous,Iliofemoral,Inguinal,Sacrospinous,Sacrotuberous
Which fascia is found beneath the skin of the perineum?,Deep fascia,Campers’ fascia,Colles’ fascia,Scarpa’s fascia,Colles’ fascia
The innervation of the perineum is mainly by:,Pudendal nerve,Sciatic nerve,Obturator nerve,Femoral nerve,Pudendal nerve
Which of these is NOT part of the female vulva?,Vagina,Urethral meatus,Clitoris,Labia majora,Vagina
Which is the subdivision of the perineum medial to the ischial tuberosities?,Ischioanal fossa,Urogenital triangle,Perineal body,Anal triangle,Urogenital triangle
Which muscle of the pelvic floor is pierced by the urethra?,Levator ani,Ischiococcygeus,Puborectalis,Coccygeus,Levator ani
Which muscle separates the pelvis from the perineum?,Pelvic diaphragm,Levator ani,Piriformis,Perineal membrane,Pelvic diaphragm
Which nerve provides sensory innervation to the scrotum?,Obturator nerve,Femoral nerve,Pudendal nerve,Sciatic nerve,Pudendal nerve
The membranous urethra is surrounded by which muscle?,Bulbospongiosus,Ischiocavernosus,External urethral sphincter,Deep transverse perineal,External urethral sphincter
What form the roof of the perineum?,Ischiocavernosus muscles,Pelvic diaphragm,Levator ani,Perineal membrane,Pelvic diaphragm
Which ligament converts the lesser sciatic notch into the lesser sciatic foramen?,Sacroiliac,Sacrospinous,Inguinal,Sacrotuberous,Sacrospinous
Which muscle originates on the ischial spine and inserts on the coccyx?,Obturator internus,Coccygeus,Levator ani,Piriformis,Coccygeus
The deep dorsal vein of the penis drains into:,External pudendal vein,Internal pudendal vein,Prostatic venous plexus,Common iliac vein,Prostatic venous plexus
Which muscle lies lateral to the anal canal in the ischioanal fossa?,Obturator internus,Levator ani,Coccygeus,Piriformis,Obturator internus
Which part of the sacrum articulates with the ilium?,Auricular surface,Body,Coccyx,Promontory,Auricular surface
The bladder rests directly on which muscle?,Piriformis,Obturator internus,Coccygeus,Levator ani,Levator ani
Which artery supplies the rectum?,Inferior rectal,Middle rectal,Superior rectal,All of the above,All of the above
The external anal sphincter is innervated by the:,Obturator nerve,Femoral nerve,Sciatic nerve,Pudendal nerve,Pudendal nerve
Which nerve passes through the lesser sciatic foramen?,Sciatic nerve,Pudendal nerve,Femoral nerve,Obturator nerve,Pudendal nerve
Which structure forms the floor of the ischioanal fossa?,Levator ani,Coccygeus,Skin,Obturator internus,Skin
The superficial transverse perineal muscle is located in the:,Deep perineal pouch,Ischioanal fossa,Superficial perineal pouch,Urogenital diaphragm,Superficial perineal pouch
The deep perineal pouch contains the:,Ischiocavernosus muscle,Superficial transverse perineal muscle,Bulbospongiosus muscle,Sphincter urethrae muscle,Sphincter urethrae muscle
Which artery is the main supply to the perineum?,Superior rectal artery,Internal pudendal artery,External pudendal artery,Inferior gluteal artery,Internal pudendal artery
Which structure is NOT found in the anal triangle?,Anal canal,External anal sphincter,Ischioanal fossa,Urethra,Urethra
Which muscle closes the anal canal?,Coccygeus,Internal anal sphincter,External anal sphincter,Levator ani,External anal sphincter
Which structure forms the apex of the bladder?,Base,Neck,Sides,Fundus,Neck
Where does the round ligament of uterus terminate?,Fallopian tube,Ovarian ligament,Labia majora,Uterine tube,Labia majora
Which nerve supplies the pelvic diaphragm?,Obturator nerve,Pudendal nerve,Sciatic nerve,Femoral nerve,Pudendal nerve
Which nerve supplies the external urethral sphincter?,Sciatic nerve,Pudendal nerve,Obturator nerve,Femoral nerve,Pudendal nerve
Which nerve divides into perineal and dorsal nerve of clitoris?,Sciatic nerve,Obturator nerve,Pudendal nerve,Femoral nerve,Pudendal nerve
Which muscle helps to maintain fecal continence?,Coccygeus,Piriformis,Puborectalis,Obturator internus,Puborectalis
Which of these structures is located in the male perineum?,Uterus,Labia majora,Vagina,Prostate gland,Prostate gland
What is the main arterial supply of the bladder?,External pudendal artery,Internal pudendal artery,Inferior vesical artery,Superior vesical artery,Superior vesical artery
The external urethral sphincter is composed of:,Smooth muscle,Fibrous tissue,Skeletal muscle,Cardiac muscle,Skeletal muscle
Which ligament attaches the sacrum to the ilium?,Sacrotuberous ligament,Sacrospinous ligament,Inguinal ligament,Sacroiliac ligament,Sacroiliac ligament
The levator ani is innervated by:,S1 and S2,S3 and S4,L1 and L2,L4 and L5,S3 and S4
Which muscle surrounds the bulb of the penis?,Ischiocavernosus,Superficial transverse perineal,Deep transverse perineal,Bulbospongiosus,Bulbospongiosus
Which ligament stretches between the anterior inferior iliac spine and the pubic tubercle?,Iliolumbar ligament,Sacrotuberous ligament,Inguinal ligament,Sacrospinous ligament,Inguinal ligament
Which of these muscles helps in lateral rotation of the thigh?,Piriformis,Gluteus maximus,Gluteus medius,Obturator internus,Obturator internus
Which artery supplies erectile tissue of the clitoris?,Superficial external pudendal artery,Inferior gluteal artery,Internal pudendal artery,Deep artery of clitoris,Deep artery of clitoris
Which muscle forms the median raphe of the perineum?,Deep transverse perineal,Superficial transverse perineal,Bulbospongiosus,Ischiocavernosus,Bulbospongiosus
Which of the following is NOT a boundary of the perineum?,Sacrospinous ligament,Pubic symphysis,Coccyx,Ischial tuberosities,Sacrospinous ligament
Which ligament converts the greater sciatic notch into the greater sciatic foramen?,Sacrospinous,Sacrotuberous,Inguinal,Iliofemoral,Sacrotuberous
Which wall is formed by obturator internus muscle?,Posterior wall,Anterior wall,Medial wall,Lateral wall,Lateral wall
Which structure passes through the lesser sciatic foramen?,Obturator nerve,Femoral nerve,Pudendal nerve,Sciatic nerve,Pudendal nerve
Which muscle is innervated by the nerve to obturator internus?,Coccygeus,Levator ani,Piriformis,Obturator internus,Obturator internus
Which artery supplies the rectum?,Superior rectal artery,Inferior rectal artery,Middle rectal artery,All of the above,All of the above
Which nerve is responsible for sensory innervation of the anal canal?,Obturator nerve,Pudendal nerve,Femoral nerve,Sciatic nerve,Pudendal nerve
Which of the following muscles forms the pelvic diaphragm?,Levator ani,Piriformis,Obturator internus,Coccygeus,Levator ani
The puborectalis muscle loops around which structure?,Anal canal,Urethra,Vagina,Rectum,Rectum
Which perineal muscle aids in erection?,Piriformis,Levator ani,Ischiocavernosus,Bulbospongiosus,Ischiocavernosus
The ischioanal fossa contains:,Blood vessels,Fat,Nerves,Muscle,Fat
Which of the following is NOT a part of the bony pelvis?,Hip bone,Coccyx,Femur,Sacrum,Femur
Which ligament is attached to the ischial tuberosity?,Inguinal,Iliofemoral,Sacrospinous,Sacrotuberous,Sacrotuberous
The sacroiliac joint is classified as:,Fibrous,Suture,Cartilaginous,Synovial,Fibrous
Which artery gives rise to the superior vesical artery?,Umbilical artery,External iliac artery,Common iliac artery,Internal iliac artery,Umbilical artery
Which of the following bones form the pelvic girdle?,None of the above,Sacrum and coccyx,All of the above,Two hip bones,All of the above
The bony pelvis consists of how many bones?,Four,Five,Three,Two,Four
Which bone forms the posterior part of the pelvis?,Sacrum,Coccyx,Ilium,Ischium,Sacrum
The pubic symphysis is classified as:,Fibrocartilaginous joint,Cartilaginous joint,Synovial joint,Fibrous joint,Fibrocartilaginous joint
The greater sciatic foramen is bounded by the sacrospinous ligament and which bone?,Pubis,Ischium,Sacrum,Ilium,Sacrum
Which of the following muscles is NOT part of the levator ani?,Puborectalis,Piriformis,Iliococcygeus,Pubococcygeus,Piriformis
Which muscle forms the medial part of the pelvic diaphragm?,Obturator internus,Ischiococcygeus,Coccygeus,Puborectalis,Puborectalis
Which of these nerves is the main motor nerve of the perineum?,Pudendal,Femoral,Obturator,Sciatic,Pudendal
Which artery supplies the penis?,External pudendal artery,Internal pudendal artery,Deep artery of penis,Dorsal artery of penis,Deep artery of penis
The greater vestibular gland ducts open into the:,Vagina,Urethra,Vestibule,Anal canal,Vestibule
Which nerve supplies the perineum?,Femoral,Obturator,Sciatic,Pudendal,Pudendal
Which muscle forms the lateral wall of the ischioanal fossa?,Levator ani,Piriformis,Obturator internus,Coccygeus,Obturator internus
The rectum is supplied by which artery?,Inferior rectal,Superior rectal,Middle rectal,All of the above,All of the above
Which ligament forms the posterior boundary of the pelvic inlet?,Inguinal,Sacroiliac,Sacrospinous,Sacrotuberous,Sacrotuberous
Which muscle compresses the urethra to maintain urinary continence?,Bulbospongiosus,Sphincter urethrae,Ischiocavernosus,Levator ani,Sphincter urethrae
Which nerve supplies sensation to the scrotum?,Sciatic,Femoral,Pudendal,Ilioinguinal,Ilioinguinal
The ischiocavernosus muscle is primarily involved in:,Erection,Defecation,Ejaculation,Urination,Erection
Which ligament attaches the lateral sacrum to the ischial spine?,Sacrotuberous,Inguinal,Iliofemoral,Sacrospinous,Sacrospinous
Which muscle originates at the pubic bone and inserts on the coccyx?,Coccygeus,Levator ani,Obturator internus,Pubococcygeus,Pubococcygeus
The perineal body is a site of attachment for which muscle?,Ischiocavernosus,Superficial transverse perineal,Bulbospongiosus,Deep transverse perineal,Bulbospongiosus
Which artery supplies the anal canal?,Superior rectal artery,All of the above,Inferior rectal artery,Middle rectal artery,All of the above
The internal pudendal artery originates from which artery?,Femoral artery,External iliac artery,Internal iliac artery,Common iliac artery,Internal iliac artery
Which nerve passes through the pudendal canal?,Obturator nerve,Femoral nerve,Pudendal nerve,Sciatic nerve,Pudendal nerve
Ischiorectal fossa contains which type of tissue?,Muscle,Fat,Bone,Cartilage,Fat
Which muscle forms the median raphe of the perineum in males?,Ischiocavernosus,Bulbospongiosus,Deep transverse perineal,Superficial transverse perineal,Bulbospongiosus
