Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is NOT a recognized risk factor for postpartum haemorrhage?,Prolonged labour,Low birth weight,Episiotomy,Multiple pregnancy,Low birth weight
Which of the following is the most appropriate management for postpartum haemorrhage due to amniotic fluid embolism?,Supportive care,Ergometrine,Oxytocin infusion,Manual removal of placenta,Supportive care
Which of the following is the most common cause of maternal death from postpartum haemorrhage worldwide?,Retained placenta,Coagulopathy,Trauma,Uterine atony,Uterine atony
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony unresponsive to medical therapy?,Uterine artery ligation,Manual removal of placenta,Oxytocin,Ergometrine,Uterine artery ligation
Which of the following is the most appropriate management for postpartum haemorrhage due to retained placenta with heavy bleeding?,Manual removal of placenta,Antibiotics only,Oxytocin infusion,Observation,Manual removal of placenta
Which of the following is NOT a recognized complication of surgical management of postpartum haemorrhage?,Hyperthyroidism,Bowel injury,Bladder injury,Infection,Hyperthyroidism
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with asthma?,Carboprost,Misoprostol,Oxytocin,Ergometrine,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with hypertension?,Carboprost,Oxytocin,Ergometrine,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with cardiac disease?,Carboprost,Misoprostol,Ergometrine,Oxytocin,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine surgery?,Carboprost,Ergometrine,Misoprostol,Oxytocin,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous postpartum haemorrhage?,Ergometrine,Misoprostol,Carboprost,Oxytocin,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous retained placenta?,Ergometrine,Misoprostol,Carboprost,Oxytocin,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine inversion?,Carboprost,Oxytocin,Ergometrine,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine rupture?,Ergometrine,Misoprostol,Carboprost,Oxytocin,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine artery ligation?,Carboprost,Misoprostol,Oxytocin,Ergometrine,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous B-Lynch suture?,Oxytocin,Carboprost,Ergometrine,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine artery embolization?,Misoprostol,Carboprost,Oxytocin,Ergometrine,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine balloon tamponade?,Oxytocin,Misoprostol,Ergometrine,Carboprost,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine artery embolization?,Ergometrine,Carboprost,Misoprostol,Oxytocin,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine balloon tamponade?,Misoprostol,Oxytocin,Carboprost,Ergometrine,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine artery ligation?,Ergometrine,Misoprostol,Carboprost,Oxytocin,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous B-Lynch suture?,Ergometrine,Misoprostol,Carboprost,Oxytocin,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine rupture?,Ergometrine,Carboprost,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine inversion?,Carboprost,Ergometrine,Oxytocin,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous retained placenta?,Oxytocin,Carboprost,Ergometrine,Misoprostol,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous postpartum haemorrhage?,Ergometrine,Oxytocin,Misoprostol,Carboprost,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with previous uterine surgery?,Oxytocin,Misoprostol,Carboprost,Ergometrine,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with cardiac disease?,Misoprostol,Carboprost,Ergometrine,Oxytocin,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with hypertension?,Ergometrine,Oxytocin,Misoprostol,Carboprost,Oxytocin
Which of the following is the most appropriate management for postpartum haemorrhage due to uterine atony in a woman with asthma?,Oxytocin,Misoprostol,Ergometrine,Carboprost,Oxytocin
