Question,Option A,Option B,Option C,Option D,Correct Answer
The endometrium is most receptive to implantation during,Menstrual phase,Proliferative phase,Secretory phase,Follicular phase,Secretory phase
The main cause of primary amenorrhea is,Hyperprolactinemia,PCOS,Asherman syndrome,Gonadal dysgenesis,Gonadal dysgenesis
The most common cause of secondary amenorrhea is,Hyperprolactinemia,PCOS,Asherman syndrome,Turner syndrome,PCOS
The most common cause of abnormal uterine bleeding in adolescents is,Anovulation,Endometrial cancer,Polyp,Leiomyoma,Anovulation
The main hormone responsible for endometrial proliferation is,FSH,Estrogen,Progesterone,LH,Estrogen
The main hormone responsible for endometrial secretion is,Estrogen,Progesterone,LH,FSH,Progesterone
The main function of FSH in females is,Follicle maturation,Corpus luteum maintenance,Ovulation,Endometrial shedding,Follicle maturation
The main function of LH in females is,Ovulation,Endometrial proliferation,Endometrial shedding,Follicle maturation,Ovulation
The main function of inhibin is,Inhibit LH,Inhibit FSH,Stimulate LH,Stimulate FSH,Inhibit FSH
The main function of activin is,Inhibit LH,Stimulate LH,Stimulate FSH,Inhibit FSH,Stimulate FSH
The main function of estrogen in the menstrual cycle is,Endometrial secretion,Ovulation,Corpus luteum maintenance,Endometrial proliferation,Endometrial proliferation
The main function of progesterone in the menstrual cycle is,Endometrial secretion,Corpus luteum maintenance,Endometrial proliferation,Ovulation,Endometrial secretion
The main function of the corpus luteum is,Estrogen secretion,FSH secretion,LH secretion,Progesterone secretion,Progesterone secretion
The main function of theca cells is,Progesterone production,Androgen production,FSH production,Estrogen production,Androgen production
The main function of granulosa cells is,Estrogen production,Progesterone production,Androgen production,LH production,Estrogen production
The main function of aromatase is,Convert estrogens to androgens,Convert androgens to estrogens,Convert progesterone to estrogen,Convert FSH to LH,Convert androgens to estrogens
The main function of the hypothalamic-pituitary-gonadal axis is,Regulate reproduction,Regulate immunity,Regulate metabolism,Regulate growth,Regulate reproduction
The main function of GnRH is,Stimulate testosterone,Stimulate estrogen,Stimulate FSH and LH,Stimulate progesterone,Stimulate FSH and LH
The main function of kisspeptin is,Inhibit GnRH,Inhibit FSH,Stimulate GnRH,Stimulate FSH,Stimulate GnRH
The main function of anti-Müllerian hormone in females is,Stimulate ovulation,Stimulate endometrial proliferation,Inhibit FSH,Inhibit follicle recruitment,Inhibit follicle recruitment
The main function of anti-Müllerian hormone in males is,Development of Wolffian ducts,Regression of Müllerian ducts,Development of testes,Regression of Wolffian ducts,Regression of Müllerian ducts
The main function of SRY gene is,Estrogen production,Progesterone production,Testis determination,Ovary determination,Testis determination
The main function of Leydig cells is,Testosterone production,FSH production,LH production,Estrogen production,Testosterone production
The main function of DHT in males is,External genitalia development,Internal genitalia development,Spermatogenesis,Testosterone production,External genitalia development
The main function of testosterone in males is,External genitalia development,Internal genitalia development,Estrogen production,Progesterone production,Internal genitalia development
The main function of the gubernaculum is,FSH production,Estrogen production,Testicular descent,Testosterone production,Testicular descent
The main function of the processus vaginalis is,Testicular descent,Estrogen production,Testosterone production,FSH production,Testicular descent
The main function of the mesonephric duct in males is,Development of fallopian tube,Development of epididymis,Development of vagina,Development of uterus,Development of epididymis
The main function of the paramesonephric duct in females is,Development of uterus,Development of epididymis,Development of prostate,Development of vas deferens,Development of uterus
The main function of the urogenital sinus in females is,Development of lower vagina,Development of uterus,Development of ovary,Development of fallopian tube,Development of lower vagina
The main function of the urogenital sinus in males is,Development of prostate,Development of fallopian tube,Development of ovary,Development of uterus,Development of prostate
The main function of the genital tubercle in females is,Development of labia minora,Development of vagina,Development of clitoris,Development of labia majora,Development of clitoris
The main function of the genital tubercle in males is,Development of testis,Development of prostate,Development of scrotum,Development of penis,Development of penis
The main function of the labioscrotal swelling in females is,Development of labia minora,Development of vagina,Development of clitoris,Development of labia majora,Development of labia majora
The main function of the labioscrotal swelling in males is,Development of testis,Development of prostate,Development of penis,Development of scrotum,Development of scrotum
The main function of the urogenital folds in females is,Development of clitoris,Development of labia minora,Development of vagina,Development of labia majora,Development of labia minora
The main function of the urogenital folds in males is,Development of testis,Development of scrotum,Development of penile urethra,Development of penis,Development of penile urethra
The main function of the cloacal membrane is,Partitioning of cloaca,Development of uterus,Development of testis,Development of ovary,Partitioning of cloaca
The main function of the allantois is,Formation of ovary,Formation of urachus,Formation of uterus,Formation of testis,Formation of urachus
The main function of the urachus is,Connect uterus to ovary,Connect testis to epididymis,Connect bladder to umbilicus,Connect prostate to urethra,Connect bladder to umbilicus
The main function of the Wolffian duct in females is,Regresses,Forms vagina,Forms uterus,Forms ovary,Regresses
The main function of the Müllerian duct in males is,Forms prostate,Regresses,Forms epididymis,Forms vas deferens,Regresses
The main function of the gubernaculum in females is,Forms uterus,Forms ovarian and round ligaments,Forms ovary,Forms vagina,Forms ovarian and round ligaments
The main function of the mesonephros is,Forms uterus,Temporary kidney,Forms ovary,Permanent kidney,Temporary kidney
The main function of the metanephros is,Forms uterus,Forms ovary,Temporary kidney,Permanent kidney,Permanent kidney
The main function of the pronephros is,Temporary kidney,Permanent kidney,Nonfunctional,Forms uterus,Nonfunctional
The main function of the cloaca is,Forms uterus,Forms ovary,Forms vagina,Forms rectum and urogenital sinus,Forms rectum and urogenital sinus
The main function of the septum transversum is,Forms vagina,Forms diaphragm,Forms uterus,Forms ovary,Forms diaphragm
The main function of the notochord is,Form vagina,Form ovary,Form uterus,Induce neural tube,Induce neural tube
The main function of the neural crest cells is,Form ovary,Form vagina,Form uterus,Form peripheral nervous system,Form peripheral nervous system
The main function of the somites is,Form vertebrae and muscles,Form ovary,Form vagina,Form uterus,Form vertebrae and muscles
The main function of the intermediate mesoderm is,Form urogenital system,Form uterus,Form ovary,Form vagina,Form urogenital system
The main function of the lateral plate mesoderm is,Form ovary,Form vagina,Form uterus,Form body wall,Form body wall
The main function of the endoderm is,Form ovary,Form gut tube,Form uterus,Form vagina,Form gut tube
The main function of the ectoderm is,Form ovary,Form uterus,Form vagina,Form nervous system,Form nervous system
The main function of the mesoderm is,Form vagina,Form ovary,Form muscles and bones,Form uterus,Form muscles and bones
The main function of the amniotic cavity is,Form ovary,Form uterus,Form vagina,Protect embryo,Protect embryo
The main function of the chorion is,Form uterus,Form placenta,Form vagina,Form ovary,Form placenta
Which structure forms the posterior boundary of the perineum,Pubic symphysis,Coccyx,Ischial tuberosity,Obturator foramen,Coccyx
The ovarian fossa is located between,Ovary and fallopian tube,Internal iliac vessels and bladder,Uterus and rectum,External iliac vessels and ureter,External iliac vessels and ureter
Which artery supplies the majority of the vaginal wall,Internal pudendal artery,Superior vesical artery,Ovarian artery,Uterine artery,Uterine artery
The ischiorectal fossa contains,Obturator nerve,Inferior rectal vessels and nerves,Round ligament,Superior gluteal artery,Inferior rectal vessels and nerves
The perineal membrane is a part of,Pelvic diaphragm,Superficial perineal pouch,Ischiorectal fossa,Deep perineal pouch,Deep perineal pouch
The deep dorsal vein of the penis drains into,Internal pudendal vein,Femoral vein,External pudendal vein,Prostatic venous plexus,Prostatic venous plexus
The suspensory ligament of the ovary contains,Nerves only,Uterine vessels,Ovarian vessels,Lymphatics only,Ovarian vessels
The rectouterine pouch is also known as,Paravesical space,Vesicouterine pouch,Pouch of Douglas,Retropubic space,Pouch of Douglas
The main nerve supply to the clitoris is,Genitofemoral nerve,Obturator nerve,Ilioinguinal nerve,Dorsal nerve of clitoris,Dorsal nerve of clitoris
Which muscle forms the pelvic floor,Obturator internus,Piriformis,Levator ani,Ischiocavernosus,Levator ani
The ureter passes under which structure in females,Uterine artery,Ovarian ligament,Round ligament,Obturator nerve,Uterine artery
The most common site for rupture in ectopic pregnancy is,Ampulla,Isthmus,Interstitial,Infundibulum,Isthmus
Which part of the fallopian tube is the narrowest,Interstitial,Ampulla,Infundibulum,Isthmus,Interstitial
The ovarian ligament attaches the ovary to,Bladder,Uterus,Round ligament,Infundibulum,Uterus
The gubernaculum in females becomes,Clitoris and vestibule,Round ligament and ovarian ligament,Perineal body,Labia majora and minora,Round ligament and ovarian ligament
The broad ligament is subdivided into,Mesosalpinx mesorectum mesometrium,Mesometrium mesorectum mesovarium,Mesovarium mesorectum mesometrium,Mesometrium mesosalpinx mesovarium,Mesometrium mesosalpinx mesovarium
Which structure is palpable during a bimanual pelvic exam,Infundibulum,Round ligament,Cervix,Ovarian fossa,Cervix
The external os of the cervix opens into,Bladder,Vagina,Rectum,Uterus,Vagina
The internal os of the cervix opens into,Uterus,Vagina,Rectum,Bladder,Uterus
The most common site of cervical laceration during delivery is,Posterior wall,Fundus,Anterior wall,Lateral wall,Lateral wall
Which part of the male urethra is surrounded by the external urethral sphincter,Spongy,Prostatic,Penile,Membranous,Membranous
The cremasteric muscle is derived from,External oblique,Internal oblique,Rectus abdominis,Transversus abdominis,Internal oblique
The dartos muscle is responsible for,Wrinkling of scrotal skin,Urine expulsion,Testicular descent,Penile erection,Wrinkling of scrotal skin
The tunica albuginea surrounds,Testis,Prostate,Penis,Ovary,Testis
Which structure is cut during a vasectomy,Prostate,Vas deferens,Epididymis,Seminal vesicle,Vas deferens
The prostatic urethra is characterized by the presence of,Trigone,Verumontanum,Seminal colliculus,Navicular fossa,Verumontanum
The seminal vesicles secrete,Prostaglandins only,Estrogen,Testosterone,Fructose-rich fluid,Fructose-rich fluid
The ejaculatory ducts open into,Membranous urethra,Prostatic urethra,Spongy urethra,Penile urethra,Prostatic urethra
The bulbourethral glands are located in,Ischiorectal fossa,Prostatic urethra,Superficial perineal pouch,Deep perineal pouch,Deep perineal pouch
The main function of the prostate is,Testosterone production,Estrogen secretion,Secretion of alkaline fluid,FSH production,Secretion of alkaline fluid
The prostatic utricle is a remnant of,Allantois,Müllerian duct,Wolffian duct,Mesonephric duct,Müllerian duct
The most common site of prostatic cancer is,Anterior zone,Central zone,Transitional zone,Peripheral zone,Peripheral zone
The most common site of benign prostatic hyperplasia is,Peripheral zone,Central zone,Anterior zone,Transitional zone,Transitional zone
The main blood supply to the prostate is,Superior vesical artery,Inferior vesical artery,Obturator artery,Internal pudendal artery,Inferior vesical artery
The lymphatic drainage of the testis is to,External iliac nodes,Para-aortic nodes,Inguinal nodes,Internal iliac nodes,Para-aortic nodes
The lymphatic drainage of the scrotum is to,External iliac nodes,Superficial inguinal nodes,Internal iliac nodes,Para-aortic nodes,Superficial inguinal nodes
The lymphatic drainage of the glans penis is to,Deep inguinal nodes,External iliac nodes,Para-aortic nodes,Superficial inguinal nodes,Deep inguinal nodes
The main nerve supply to the penis is,Ilioinguinal nerve,Dorsal nerve of penis,Genitofemoral nerve,Obturator nerve,Dorsal nerve of penis
The perineal body is formed by the convergence of,Levator ani only,Obturator muscles,Several perineal muscles,Ischiocavernosus only,Several perineal muscles
The superficial perineal pouch contains,Levator ani and obturator internus,Ischiocavernosus and bulbospongiosus,Obturator externus and gracilis,Piriformis and coccygeus,Ischiocavernosus and bulbospongiosus
The deep perineal pouch contains,Obturator internus,Superficial transverse perineal muscle,Deep transverse perineal muscle,Ischiocavernosus,Deep transverse perineal muscle
The perineal membrane separates,Superficial and deep perineal pouches,Ischiorectal fossa and pelvic cavity,Deep perineal pouch and ischiorectal fossa,Superficial perineal pouch and pelvic cavity,Superficial and deep perineal pouches
The ischiocavernosus muscle covers,Crus of penis or clitoris,Bulb of penis,Obturator foramen,Perineal body,Crus of penis or clitoris
The bulbospongiosus muscle covers,Perineal body,Bulb of penis or vestibule,Crus of penis,Obturator foramen,Bulb of penis or vestibule
The superficial transverse perineal muscle stabilizes,Crus of penis,Perineal body,Ischiorectal fossa,Obturator foramen,Perineal body
The anal triangle contains,Perineal body,Crus of penis,Ischiocavernosus,External anal sphincter,External anal sphincter
The urogenital triangle contains,Rectum,Obturator internus,Anal canal,External genitalia,External genitalia
The pudendal canal (Alcock's canal) contains,Obturator nerve,Pudendal nerve and vessels,Genitofemoral nerve,Ilioinguinal nerve,Pudendal nerve and vessels
The main support of the pelvic organs is provided by,Levator ani,Ischiocavernosus,Piriformis,Obturator internus,Levator ani
The peritoneal reflection between the bladder and uterus is called,Rectouterine pouch,Vesicouterine pouch,Paravesical pouch,Pararectal pouch,Vesicouterine pouch
The main function of the ischiorectal fossa is,Support bladder,Support prostate,Support uterus,Allow expansion of the anal canal,Allow expansion of the anal canal
The most common cause of rectocele is,Bladder prolapse,Prostate enlargement,Rectal tumor,Weakness of pelvic floor,Weakness of pelvic floor
The most common cause of cystocele is,Prostate enlargement,Rectal prolapse,Rectal tumor,Weakness of anterior vaginal wall,Weakness of anterior vaginal wall
The main function of the uterosacral ligament is,Support bladder,Support uterus posteriorly,Support ovary,Support rectum,Support uterus posteriorly
The main function of the pubocervical ligament is,Support uterus anteriorly,Support rectum,Support bladder,Support ovary,Support uterus anteriorly
The main function of the round ligament is,Support bladder,Maintain anteversion of uterus,Support ovary,Support rectum,Maintain anteversion of uterus
The main function of the transverse cervical (cardinal) ligament is,Support uterus laterally,Support ovary,Support rectum,Support bladder,Support uterus laterally
The main function of the peritoneum in the pelvis is,Produce hormones,Support uterus,Allow organ movement,Support ovary,Allow organ movement
The main function of the obturator internus is,Extend thigh,Medially rotate thigh,Laterally rotate thigh,Flex thigh,Laterally rotate thigh
The main function of the piriformis is,Extend thigh,Flex thigh,Laterally rotate thigh,Medially rotate thigh,Laterally rotate thigh
The main function of the coccygeus muscle is,Support ovary,Support pelvic floor,Support uterus,Support bladder,Support pelvic floor
The main function of the sacrospinous ligament is,Support bladder,Support ovary,Prevent posterior rotation of sacrum,Support uterus,Prevent posterior rotation of sacrum
The main function of the sacrotuberous ligament is,Support bladder,Prevent posterior rotation of sacrum,Support uterus,Support ovary,Prevent posterior rotation of sacrum
The main function of the obturator canal is,Transmit pudendal nerve,Transmit obturator nerve and vessels,Transmit genitofemoral nerve,Transmit ilioinguinal nerve,Transmit obturator nerve and vessels
The main function of the greater sciatic foramen is,Transmit pudendal nerve,Transmit sciatic nerve,Transmit genitofemoral nerve,Transmit obturator nerve,Transmit sciatic nerve
The main function of the lesser sciatic foramen is,Transmit obturator nerve,Transmit genitofemoral nerve,Transmit pudendal nerve,Transmit sciatic nerve,Transmit pudendal nerve
The main function of the pelvic brim is,Support bladder,Support uterus,Support ovary,Separate true and false pelvis,Separate true and false pelvis
The main function of the true pelvis is,Support uterus,Support bladder,Support ovary,Contain pelvic organs,Contain pelvic organs
The main function of the false pelvis is,Support bladder,Support uterus,Support ovary,Support abdominal organs,Support abdominal organs
The main function of the pelvic inlet is,Support ovary,Entry to true pelvis,Exit from true pelvis,Support uterus,Entry to true pelvis
The main function of the pelvic outlet is,Entry to true pelvis,Support uterus,Support ovary,Exit from true pelvis,Exit from true pelvis
The main function of the ischial spine is,Attachment for levator ani,Attachment for sacrospinous ligament,Attachment for sacrotuberous ligament,Attachment for obturator internus,Attachment for sacrospinous ligament
The main function of the ischial tuberosity is,Attachment for hamstring muscles,Attachment for piriformis,Attachment for obturator internus,Attachment for levator ani,Attachment for hamstring muscles
The main function of the pubic symphysis is,Join ilium and ischium,Join two pubic bones,Join sacrum and coccyx,Join ilium and sacrum,Join two pubic bones
The main function of the sacroiliac joint is,Support uterus,Support ovary,Transmit weight from spine to pelvis,Support bladder,Transmit weight from spine to pelvis
The main function of the acetabulum is,Articulate with ilium,Articulate with femoral head,Articulate with sacrum,Articulate with coccyx,Articulate with femoral head
The main function of the obturator foramen is,Transmit sciatic nerve,Transmit genitofemoral nerve,Transmit pudendal nerve,Transmit obturator nerve and vessels,Transmit obturator nerve and vessels
The main function of the iliac crest is,Attachment for levator ani,Attachment for hamstring muscles,Attachment for obturator internus,Attachment for abdominal muscles,Attachment for abdominal muscles
The main function of the anterior superior iliac spine is,Attachment for sacrospinous ligament,Attachment for obturator internus,Attachment for inguinal ligament,Attachment for sacrotuberous ligament,Attachment for inguinal ligament
The main function of the posterior superior iliac spine is,Attachment for sacrospinous ligament,Attachment for obturator internus,Attachment for levator ani,Attachment for sacrotuberous ligament,Attachment for sacrotuberous ligament
The main function of the greater trochanter is,Attachment for hamstring muscles,Attachment for levator ani,Attachment for gluteal muscles,Attachment for obturator internus,Attachment for gluteal muscles
The main function of the lesser trochanter is,Attachment for iliopsoas,Attachment for obturator internus,Attachment for hamstring muscles,Attachment for levator ani,Attachment for iliopsoas
