Question,Option A,Option B,Option C,Option D,Correct Answer
Which investigation is indicated for a pregnant woman with a family history of cystic fibrosis?,Complete blood count,Urea measurement,Chorionic villus sampling,Fasting blood sugar,Chorionic villus sampling
Which of the following is a clinical sign of fetal well-being?,Fewer uterine contractions,Regular fetal movements,Decreased amniotic fluid,Maternal weight loss,Regular fetal movements
At what gestational age can fetal heart tones usually be detected by Doppler ultrasound?,4-6 weeks,14-16 weeks,20-22 weeks,10-12 weeks,10-12 weeks
Which maternal condition increases the risk of fetal abnormalities?,Low BMI,Maternal exercise,Good nutrition,Pre-gestational diabetes,Pre-gestational diabetes
Which of the following is a sign of early pregnancy fatigue?,Mood stability,Excessive sleepiness,Lack of thirst,Increased appetite,Excessive sleepiness
What clinical test is most useful to differentiate ectopic pregnancy from viable intrauterine pregnancy?,Transvaginal ultrasound,Cervical exam,Urine dipstick,Blood pressure measurement,Transvaginal ultrasound
Which symptom is common due to increased blood volume in pregnancy?,Constipation,Frequent urination,Fever,Blurred vision,Frequent urination
Which invasive test allows genetic diagnosis as early as 10-13 weeks?,Fetal kick count,Chorionic villus sampling,Amniocentesis,Maternal serum screening,Chorionic villus sampling
Which is NOT a typical sign of pregnancy-induced nausea?,Vomiting,Morning sickness,Headache,Fatigue,Headache
How is fetal well-being monitored in the third trimester?,Serum hCG,Urine culture,Blood glucose testing,Non-stress test,Non-stress test
Which test screens for Down syndrome using maternal serum markers?,Thyroid profile,Liver function test,Triple screen test,Complete blood count,Triple screen test
Which adverse factor is an indication for detailed fetal anomaly scan?,Young maternal age,Good health,No family history,Advanced maternal age,Advanced maternal age
What does a non-reactive non-stress test suggest?,Maternal hydration,Possible fetal distress,Fetal well-being,Normal pregnancy,Possible fetal distress
What clinical sign is NOT typically present in later pregnancy?,Backache,Varicose veins,Leg cramps,Morning sickness,Morning sickness
Which pregnancy test detects the hormone hCG in maternal blood?,D-dimer,Serum calcium,Serum insulin test,Serum beta hCG test,Serum beta hCG test
In the context of pregnancy, increased estrogen levels cause which symptom?,Breast tenderness,Morning sickness,Back pain,Constipation
Which test is used to evaluate the risk of neural tube defects?,Urinalysis,Serum creatinine,Maternal serum alpha-fetoprotein,Complete blood count,Maternal serum alpha-fetoprotein
Which of the following fetal abnormalities is best detected by detailed ultrasound?,Sickle cell anemia,Anencephaly,Cystic fibrosis,Phenylketonuria,Anencephaly
Which factor strongly indicates the need for fetal chromosome analysis?,Regular exercise,Maternal age under 20,Folic acid intake,Previous child with chromosomal abnormality,Previous child with chromosomal abnormality
A pregnancy test should be performed if a woman presents with which symptom?,Hair loss,Joint pain,Missed period,Skin rash,Missed period
Which method helps assess amniotic fluid volume?,Urine dipstick test,Ultrasound with amniotic fluid index,Fetal heart rate monitoring,Fundal height measurement,Ultrasound with amniotic fluid index
Which of these symptoms might indicate preeclampsia?,Headache and vision changes,Morning sickness,Increased urination,Breast tenderness,Headache and vision changes
Which of the following is a sign of fetal distress seen on cardiotocography?,Variable decelerations,Early accelerations,Normal baseline,Late decelerations,Late decelerations
The presence of which symptom in early pregnancy may indicate ectopic pregnancy?,Vaginal cravings,Fatigue,Severe abdominal pain,Backache,Severe abdominal pain
Which sign on ultrasound confirms intrauterine pregnancy?,Raised blood pressure,Elevated maternal heart rate,Gestational sac,Increased amniotic fluid,Gestational sac
Which symptom is NOT typical of early pregnancy?,Jaundice,Weight loss,Nausea and vomiting,Tiredness,Jaundice
Which test can be performed to monitor fetal heart rate noninvasively?,Cardiotocography,Amniocentesis,Serum hCG test,Uterine artery Doppler,Cardiotocography
Which of the following symptoms may persist into late pregnancy?,Leg cramps,Cramps,Morning sickness,Nausea,Leg cramps
What is the main purpose of the biophysical profile test?,Fetal genetic testing,Measure maternal hormone levels,Assess fetal health,Test urine protein,Assess fetal health
Which biochemical marker is assessed in maternal serum for fetal Down syndrome screening?,Oxytocin,Progesterone,Pregnancy-associated plasma protein A (PAPP-A),hCG,Pregnancy-associated plasma protein A (PAPP-A)
Which of these is NOT a risk factor for fetal abnormalities?,Diabetes mellitus,Advanced maternal age,Regular prenatal care,Alcohol use during pregnancy,Regular prenatal care
To confirm pregnancy in very early stages, which imaging technique is preferred?,Transvaginal ultrasound,Chest X-ray,Abdominal ultrasound,MRI scan
Which clinical monitoring technique assesses fetal movements?,Serum hCG test,Fetal ECG,Maternal kick count,Fundal height,Maternal kick count
Which of the following is associated with preterm labor risk?,Maternal obesity,Regular exercise,Previous preterm delivery,Folic acid supplementation,Previous preterm delivery
What symptom is NOT indicative of later pregnancy complications?,Nausea and vomiting,Severe headache,Vaginal bleeding,Severe vision loss,Nausea and vomiting
Which maternal serum marker decreases with Down syndrome?,hCG,Alpha-fetoprotein,Progesterone,Estrogen,Alpha-fetoprotein
Which symptom indicates a possible urinary tract infection in pregnancy?,Painful urination,Headache,Morning sickness,Fatigue,Painful urination
What does increased fetal nuchal translucency in the first trimester suggest?,Possible chromosomal abnormality,Fetal maturity,Normal variation,Increased amniotic fluid,Possible chromosomal abnormality
How early can chorionic villus sampling be performed?,4-6 weeks,14-16 weeks,10-13 weeks,20-22 weeks,10-13 weeks
Which finding on ultrasound is a sign of fetal death?,Normal fetal heart rate,Increased fetal movement,Increased amniotic fluid,Absent fetal heartbeat,Absent fetal heartbeat
Which parameter is NOT usually assessed in fetal biophysical profile?,Fetal breathing movements,Fetal heart rate,Maternal blood pressure,Fetal tone,Maternal blood pressure
In pregnancy, increased sense of smell is associated with which hormonal change?,Estrogen rise,Progesterone drop,Thyroid hormone decrease,Oxytocin rise
Which prenatal test detects sickle cell anemia?,Ultrasound,Maternal serum alpha-fetoprotein,Amniocentesis,Chorionic villus sampling,Chorionic villus sampling
Which symptom is characteristic of hyperemesis gravidarum?,Fatigue,Headache,Mild nausea,Severe vomiting,Severe vomiting
What is the significance of a maternal serum triple screen test?,Detects risk of trisomy and neural tube defects,Assesses maternal anemia,Measures fetal weight,Detects gestational diabetes,Detects risk of trisomy and neural tube defects
Which clinical feature is common in first trimester but not later pregnancy?,Varicose veins,Morning sickness,Leg cramps,Backache,Morning sickness
Which investigation is gold standard for fetal lung maturity?,Fetal heart rate monitoring,Fetal ultrasound,Maternal blood pressure,Lecithin-sphingomyelin ratio from amniotic fluid,Lecithin-sphingomyelin ratio from amniotic fluid
Which factor elevates the risk of neural tube defects in fetus?,Maternal hydration,Maternal folate deficiency,Increased maternal protein intake,Maternal exercise,Maternal folate deficiency
What clinical sign is used to roughly estimate uterine size during pregnancy?,Blood pressure,Respiratory rate,Fundal height measurement,Heart rate,Fundal height measurement
Which of the following is a common symptom in both early and later pregnancy?,Fatigue,Severe headache,Nausea and vomiting,Bleeding,Fatigue
Which investigation can detect fetal anemia antenatally?,Middle cerebral artery Doppler,Maternal CBC,Blood gas analysis,Urine dipstick,Middle cerebral artery Doppler
How is fetal growth best monitored?,Blood pressure readings,Serial ultrasound scans,Urine analysis,Maternal weight,Serial ultrasound scans
Which of the following does NOT typically confirm pregnancy?,Positive urine hCG test,Follicle stimulating hormone levels,Positive serum hCG test,Menstrual irregularity,Follicle stimulating hormone levels
Which fetal abnormality screening increases in sensitivity by combining ultrasound and maternal serum markers?,Maternal blood glucose test,Urine protein test,Complete blood count,Integrated test,Integrated test
Which clinical method is used to assess fetal well-being during labor?,Electronic fetal monitoring,Complete blood count,Fundal height,Maternal pulse,Electronic fetal monitoring
Which fetal abnormality is often screened for by the quadruple test?,Gestational diabetes,Fetal hydrops,Trisomy 21,Pre-eclampsia,Trisomy 21
Which symptom, if severe, calls for immediate clinical attention in pregnancy?,Vaginal bleeding,Mild nausea,Increased appetite
In the assessment of fetal wellbeing, which test gives real-time heart rate information?,Cardiotocography,Serum hCG test,Urine analysis,Chest x-ray
Which of the following is a non-clinical test used for fetal well-being?,Fetal kick count,Maternal temperature measurement,Blood pressure check,Urine culture,Fetal kick count
Which investigation is contraindicated in pregnancy?,Maternal blood tests,Ultrasound,MRI without contrast,X-ray abdomen without shielding,X-ray abdomen without shielding
What risk factor for fetal abnormalities involves exposure to infections?,Normal blood pressure,Maternal TORCH infections,High maternal exercise,Good nutrition,Maternal TORCH infections
Which is a common pregnancy symptom caused by increased progesterone?,Hypertension,Tiredness,Nausea with vomiting,Fever,Tiredness
How does urinary frequency change in early pregnancy?,Increases due to bladder pressure,Decreases due to dehydration,No change,Stopped completely,Increases due to bladder pressure
Which test is used for definitive diagnosis of fetal chromosomal abnormalities?,Urinalysis,Complete blood count,Amniocentesis,Maternal blood pressure,Amniocentesis
Which pregnancy symptom is characterized by metallic or sour taste?,Polyuria,Diaphoresis,Polydipsia,Dysgeusia,Dysgeusia
Which of these symptoms is NOT typically a sign of early pregnancy?,Vomiting,Blurred vision,Breast tenderness,Missed period,Blurred vision
What does a reactive non-stress test indicate?,Low fetal movement,Maternal dehydration,Good fetal health,Fetal distress,Good fetal health
