Question,Option A,Option B,Option C,Option D,Correct Answer
The condition characterized by severe hypertension and proteinuria that develops after 20 weeks gestation is?,Preeclampsia,Urethritis,Ectopic pregnancy,Gestational diabetes,Preeclampsia
About what percentage of patients with eclampsia may experience transient neurological deficits such as cortical blindness?,56%,10%,25%,75%,56%
Which symptom in early pregnancy can signal normal physiological changes but requires evaluation if worsening?,Uterine cramping,Weight loss,Severe headache,Blurry vision,Uterine cramping
Which form of liver involvement is a rare but serious maternal complication during pregnancy?,Hepatic infarction,Fatty liver disease,Hepatitis C infection,Cirrhosis,Hepatic infarction
What complication is commonly associated with premature rupture of membranes before fetal viability?,Chorioamnionitis,Gestational hypertension,Ketoacidosis,Eclampsia,Chorioamnionitis
Urinary tract infections in pregnancy increase due to?,Physiological urinary stasis and dilated ureters,Reduced immune function,Increased urine pH,Higher bladder volume,Physiological urinary stasis and dilated ureters
Which maternal condition is associated with increased risk for future essential hypertension postpartum?,Preeclampsia,Ectopic pregnancy,Gestational trophoblastic disease,Uterine rupture,Preeclampsia
Which maternal complication of pregnancy trauma involves a life-threatening uterine injury?,Uterine rupture,Ovarian torsion,Placenta previa,Preterm labor,Uterine rupture
What is the typical maternal complication of fetal macrosomia in postterm pregnancy?,Cephalopelvic disproportion,Placenta accreta,Preeclampsia,Oligohydramnios,Cephalopelvic disproportion
How soon can over-the-counter pregnancy tests typically detect pregnancy after conception?,9-12 days,2-3 days,20-25 days,30 days,9-12 days
What complication can occur secondary to thrombotic thrombocytopenic purpura or hemolytic-uremic syndrome misdiagnosed as HELLP syndrome?,Severe hemolysis,Pulmonary embolism,Hyperemesis gravidarum,Pelvic inflammatory disease,Severe hemolysis
Which condition in pregnancy can cause cortical blindness transiently?,Eclampsia,Hydatidiform mole,Gestational diabetes,Uterine rupture,Eclampsia
What is the maternal mortality rate associated with eclampsia worldwide?,Approximately 13%,50%,1%,5%,Approximately 13%
Which of the following is NOT a typical maternal symptom in the first trimester?,Increased breast tenderness,Frequent urination,Persistent hypertension,Nausea and vomiting,Persistent hypertension
Maternal renal insufficiency in the context of pregnancy hypertension is primarily caused by?,Renal vasospasm and ischemia,Urinary tract infection,Hypovolemia,Autoimmune nephritis,Renal vasospasm and ischemia
Which pregnancy complication is associated with subcapsular hepatic hematoma?,Severe preeclampsia,Hemorrhagic cystitis,Ectopic pregnancy,Placenta previa,Severe preeclampsia
What is a serious maternal complication of intestinal obstruction occurring in pregnancy?,High maternal and perinatal mortality,Renal failure,Gestational diabetes,Retained placenta,High maternal and perinatal mortality
Which electrolyte is commonly administered to prevent recurrent seizures in eclampsia?,Magnesium sulfate,Calcium chloride,Sodium bicarbonate,Potassium chloride,Magnesium sulfate
Which complication is characterized by thrombocytopenia, hemolysis, and elevated liver enzymes?,HELLP syndrome,Gestational hypertension,Placenta previa,Eclampsia,HELLP syndrome
During pregnancy, which neurotransmitter change contributes to increased fatigue?,Progesterone-induced soporific effects,Increased dopamine,Decreased serotonin,Elevated norepinephrine,Progesterone-induced soporific effects
Which postpartum complication is associated with acute liver disease in pregnancy?,Postpartum hemorrhage,Pulmonary embolism,Preeclampsia,Eclampsia,Postpartum hemorrhage
Which condition is often complicated by both thrombocytopenia and microangiopathic hemolysis?,HELLP syndrome,Hyperemesis gravidarum,Placenta previa,Gestational diabetes,HELLP syndrome
In the event of abruptio placentae, what maternal complication is commonly seen?,Consumptive coagulopathy,Hyperemesis gravidarum,Postpartum depression,Amniotic fluid embolism,Consumptive coagulopathy
What complication is caused by exaggerated lordosis during pregnancy?,Back pain and nerve traction,Preterm labor,Preeclampsia,Gestational diabetes,Back pain and nerve traction
In pregnancy, relaxin is secreted by all EXCEPT?,Pancreas,Placenta,Corpus luteum,Decidual lining,Pancreas
What is the common outcome risk for infants born in postterm pregnancies?,Hypoglycemia and birth injury,Neonatal jaundice,Respiratory distress,Congenital heart disease,Hypoglycemia and birth injury
Which of the following is a maternal complication of pregnancy-related trauma?,Uterine rupture,Ketoacidosis,Preeclampsia,Hyperemesis,Uterine rupture
What is the leading cause of renal failure during preeclampsia?,Renal cortical necrosis,Viral nephritis,Nephrolithiasis,Autoimmune glomerulonephritis,Renal cortical necrosis
Which symptom is indicative of eclampsia instead of severe preeclampsia?,Generalized tonic-clonic seizures,Isolated hypertension,Mild proteinuria,Fatigue,Generalized tonic-clonic seizures
Maternal pulmonary edema in pregnancy can result from,Myocardial dysfunction,Asthma,Pneumonia,Pleural effusion,Myocardial dysfunction
What percentage of all recognized pregnancies experience early pregnancy loss?,Approximately 10%,5%,20%,30%,Approximately 10%
Which laboratory abnormality is common in disseminated intravascular coagulation associated with preeclampsia?,Low fibrinogen,Hypercalcemia,Leukocytosis,Hypernatremia,Low fibrinogen
What is the incidence of premature rupture of membranes in all pregnancies?,Less than 1%,10%,25%,50%,Less than 1%
Which complication during pregnancy is unrelated to preeclampsia yet important in differential diagnosis for HELLP syndrome?,Thrombotic thrombocytopenic purpura,Placental abruption,Eclampsia,Acute fatty liver,Thrombotic thrombocytopenic purpura
Which neurological test score is typically worse in women post-eclampsia compared to controls?,Motor-function performance,Long-term memory,Visual perception,Attention,Motor-function performance
A major cause of maternal mortality in eclampsia is?,Intracranial hemorrhage,Diabetes,Pulmonary fibrosis,Acute pancreatitis,Intracranial hemorrhage
Which maternal symptom should raise suspicion for ectopic pregnancy instead of normal pregnancy cramps?,Worsening cramping with vaginal bleeding,Mild fatigue,Breast tenderness,Nausea,Worsening cramping with vaginal bleeding
What maternal complication manifests as increased joint laxity in pregnancy?,Relaxin-induced tissue remodeling,Eclampsia,Diabetes mellitus,Hyperthyroidism,Relaxin-induced tissue remodeling
Which of the following is NOT a common maternal complication of gestational hypertension?,Intrauterine fetal death,Uterine rupture,Kidney failure,Pulmonary edema,Uterine rupture
Maternal hepatic infarction during pregnancy is most commonly associated with?,Severe preeclampsia and HELLP syndrome,Hyperemesis gravidarum,Gestational diabetes,Uterine rupture,Severe preeclampsia and HELLP syndrome
In the context of eclampsia, which maternal organ is at risk of infarction and rupture?,Liver,Heart,Brain,Pancreas,Liver
What is a key sign differentiating eclampsia from preeclampsia?,Onset of seizures,Proteinuria,Hypertension,Nausea,Onset of seizures
Which maternal complication causes high mortality due to failure in placental blood supply?,Abruptio placentae,Placenta previa,Polyhydramnios,Hydatidiform mole,Abruptio placentae
Which pregnancy complication is characterized by severe nausea and vomiting leading to dehydration?,Hyperemesis gravidarum,Preterm labor,Preeclampsia,Placenta abruption,Hyperemesis gravidarum
Which is a common maternal complication associated with postterm pregnancy?,Shoulder dystocia,Preeclampsia,Uterine rupture,Placenta accreta,Shoulder dystocia
Which of the following is NOT a mechanism of kidney injury in severe preeclampsia?,Glomerulonephritis,Cortical necrosis,Vasospasm,Acute tubular necrosis,Glomerulonephritis
How is magnesium sulfate used in management of eclampsia?,Loading dose followed by maintenance doses,Short-acting bolus only,Avoided due to toxicity,Used only postpartum,Loading dose followed by maintenance doses
What urinary tract change during pregnancy increases UTI risk?,Dilated ureters and urinary stasis,Decreased bladder capacity,Hyperactive detrusor muscle,Increased urine acidity,Dilated ureters and urinary stasis
Which postpartum complication may occur in women with acute fatty liver of pregnancy?,Severe bleeding,Eclampsia,Gestational diabetes,Preterm labor,Severe bleeding
Which serious pregnancy complication can cause massive internal hemorrhage due to hepatic rupture?,Severe preeclampsia,Urinary tract infection,Ectopic pregnancy,Hyperemesis gravidarum,Severe preeclampsia
Which of the following is a fetal complication but important in maternal management in preeclampsia?,Abruptio placentae,Fetal macrosomia,Congenital malformations,Fetal hydrops,Abruptio placentae
Which neurological disorder has increased risk after a pregnancy complicated by eclampsia?,Cerebrovascular accidents,Parkinson disease,Multiple sclerosis,Myasthenia gravis,Cerebrovascular accidents
Pregnancy-induced hypertension differs from chronic hypertension by onset when?,After 20 weeks gestation,Before pregnancy,First trimester,Immediately after delivery,After 20 weeks gestation
Maternal acute tubular necrosis in preeclampsia is typically caused by?,Ischemia and vasospasm,Infection,Autoimmune disease,Nephrolithiasis,Ischemia and vasospasm
Which maternal complication is characterized by excessive IV fluid contributing to pulmonary edema?,Severe preeclampsia,Preeclampsia without complications,Gestational diabetes,Ectopic pregnancy,Severe preeclampsia
What complication is common in multiparous women with previous eclampsia?,Development of essential hypertension,Gestational diabetes,Uterine rupture,Placenta accreta,Development of essential hypertension
How frequently does severe preeclampsia occur among women with hypertension?,About 5%,80%,50%,1%,About 5%
Which maternal symptom should prompt evaluation for uterine rupture after abdominal trauma?,Severe abdominal pain and shock,Urinary frequency,Nausea and vomiting,Headache,Severe abdominal pain and shock
Gestational diabetes is a risk factor for which of the following complications?,Macrosomia,Placenta previa,Eclampsia,Uterine rupture,Macrosomia
Which pregnancy complication is characterized by decreased amniotic fluid volume?,Oligohydramnios,Polyhydramnios,Hydatidiform mole,Gestational diabetes,Oligohydramnios
What is a classic triad for HELLP syndrome?,Hemolysis Elevated Liver enzymes Low Platelets,Hypertension Proteinuria Edema,Fever Rash Joint pain,Anemia Hyperglycemia Hypertension,Hemolysis Elevated Liver enzymes Low Platelets
Which neurological complication is more common in eclampsia survivors years after pregnancy?,Epilepsy,Alzheimer disease,Multiple sclerosis,Amyotrophic lateral sclerosis,Epilepsy
What commonly causes maternal acute renal failure in severe preeclampsia?,Renal cortical necrosis and ischemia,Urinary tract infection,Autoimmune glomerulonephritis,Hypovolemia,Renal cortical necrosis and ischemia
What is the incidence of chorioamnionitis after premature rupture of membranes?,Approximately 35%,5%,10%,80%,Approximately 35%
Which maternal complication is often missed but important due to overlapping features with severe preeclampsia?,Thrombotic thrombocytopenic purpura,Gestational diabetes,Uterine rupture,Hyperemesis gravidarum,Thrombotic thrombocytopenic purpura
Which postpartum morbidity is increased following pregnancies complicated by eclampsia?,Anxiety and depression,Diabetes mellitus,Hypothyroidism,Asthma,Anxiety and depression
Maternal complication associated with placental abruption includes?,Disseminated intravascular coagulation,Gestational diabetes,Hyperemesis gravidarum,Preeclampsia,Disseminated intravascular coagulation
Which maternal complication during pregnancy can present with swelling, upper abdominal pain and elevated liver enzymes?,HELLP syndrome,Preeclampsia,Gestational diabetes,Uterine fibroids,HELLP syndrome
What is the usual gestational timing for diagnosis of preeclampsia?,After 20 weeks gestation,Before 20 weeks,At conception,During labor,After 20 weeks gestation
Which maternal complication is most closely linked to seizures?,Eclampsia,Gestational diabetes,Gestational hypertension,Uterine rupture,Eclampsia
What type of coagulopathy is associated with placental abruption?,Consumptive coagulopathy,Hemophilia,Thrombocytopenia,Aplastic anemia,Consumptive coagulopathy
Which is NOT a typical sign of severe preeclampsia?,Hypotension,Severe hypertension,Proteinuria,Elevated liver enzymes,Hypotension
Which renal pathology is primarily seen in preeclampsia leading to proteinuria?,Endothelial damage and glomerular endotheliosis,Nephrotic syndrome,Polycystic kidney disease,Interstitial nephritis,Endothelial damage and glomerular endotheliosis
What is the major consequence of hepatic rupture in pregnancy?,Massive internal hemorrhage,Chronic liver disease,Fatty liver,Hepatitis,Massive internal hemorrhage
Which of the following is a maternal complication of gestational hypertension?,Pulmonary edema,Uterine rupture,Hyperemesis,Placenta previa,Pulmonary edema
What is the typical clinical feature of acute fatty liver of pregnancy?,Jaundice and liver failure,Severe hypertension,Severe proteinuria,Uterine tenderness,Jaundice and liver failure
Which pregnancy complication is characterized by seizures and hypertension?,Eclampsia,Gestational diabetes,Placenta previa,Ectopic pregnancy,Eclampsia
Which of the following is NOT a maternal complication of eclampsia?,Asthma,Renal insufficiency,Pulmonary edema,Disseminated intravascular coagulation,Asthma
What is the most effective treatment for preventing recurrent seizures in eclampsia?,Magnesium sulfate,Phenytoin,Phenobarbital,Diazepam,Magnesium sulfate
Which maternal organ system failure may be caused by severe preeclampsia?,Renal failure,Hepatic failure,Both renal and hepatic failure,None of the above,Both renal and hepatic failure
During pregnancy, what increases the risk of urinary tract infections?,Urinary stasis and decreased bladder tone,Hyperglycemia,Increased physical activity,Increased immune response,Urinary stasis and decreased bladder tone
What complication of pregnancy trauma can cause maternal shock?,Uterine rupture,Fetal bradycardia,Gestational diabetes,Ectopic pregnancy,Uterine rupture
Which of the following is a common neurological sequelae after eclampsia?,Cortical blindness,Multiple sclerosis,Guillain-Barre syndrome,Optic neuritis,Cortical blindness
Which metabolic change in pregnancy contributes to fatigue?,Soporific effect of progesterone,Increased adrenaline,Reduced thyroid hormones,Elevated dopamine,Soporific effect of progesterone
What complication is described by severe hemolysis and thrombocytopenia during pregnancy?,Thrombotic thrombocytopenic purpura,Placenta previa,Gestational diabetes,Ectopic pregnancy,Thrombotic thrombocytopenic purpura
What condition is indicated by uterine tenderness and abdominal pain in severe preeclampsia?,Subcapsular hepatic hematoma,Gestational diabetes,Hemolysis,Liver cirrhosis,Subcapsular hepatic hematoma
Which of the following is a rare but severe complication of pregnancy liver disease?,Hepatic rupture,Fetal macrosomia,Gestational diabetes,Uterine rupture,Hepatic rupture
Which organ's damage is assessed by elevated liver enzymes in HELLP syndrome?,Liver,Kidney,Brain,Heart,Liver
What complications of eclampsia predispose to maternal or fetal death?,Intracranial hemorrhage and disseminated intravascular coagulation,Uterine rupture,Hyperemesis gravidarum,Gestational diabetes,Intracranial hemorrhage and disseminated intravascular coagulation
Which maternal complication commonly occurs due to excessive intravenous fluid administration in preeclampsia?,Pulmonary edema,Hypertension,Thrombocytopenia,Eclamptic seizures,Pulmonary edema
What is a common indication for prompt delivery in severe preeclampsia?,Nonreassuring fetal status,Uterine rupture,Vaginal bleeding,Fever,Nonreassuring fetal status
Which maternal complication in pregnancy involves cortical blindness and transient neurological symptoms?,Eclampsia,Placenta previa,Hyperemesis gravidarum,Gestational diabetes,Eclampsia
What is a reading of platelet count <100,000/µL in pregnancy likely to indicate?,HELLP syndrome,Gestational diabetes,Normal pregnancy,Uterine rupture,HELLP syndrome
Which condition has a fetal complication of lethal pulmonary hypoplasia due to oligohydramnios?,Premature preterm rupture of membranes,Postterm pregnancy,Gestational diabetes,Preeclampsia,Premature preterm rupture of membranes
What complication is characterized by thrombocytopenia, renal failure, and neurological symptoms but unrelated to preeclampsia?,Hemolytic-uremic syndrome,HELLP syndrome,Preeclampsia,Eclampsia,Hemolytic-uremic syndrome
Which maternal complication is associated with increased risk of cerebrovascular accidents later in life?,Eclampsia,Gestational diabetes,Placenta previa,Uterine rupture,Eclampsia
Which of the following is a maternal sign of acute abdomen during pregnancy?,Severe abdominal pain,Vibratory sensation in abdomen,Mild nausea,Increased fetal movement,Severe abdominal pain
What complication occurs from capillary leak and myocardial dysfunction in pregnancy?,Pulmonary edema,Renal failure,Uterine rupture,Sepsis,Pulmonary edema
Which of the following is an indicator for magnesium sulfate therapy in pregnancy?,Eclampsia and severe preeclampsia,Mild hypertension,First-trimester nausea,Gestational diabetes,Eclampsia and severe preeclampsia
What risk increases in women with a history of eclampsia in subsequent pregnancies?,Recurrence of eclampsia and hypertension,Placenta previa,Gestational diabetes,Uterine rupture,Recurrence of eclampsia and hypertension
What is the cause of oligohydramnios in postterm pregnancy?,Uteroplacental insufficiency,Fetal macrosomia,Gestational diabetes,Placental abruption,Uteroplacental insufficiency
Which hepatic complication of pregnancy can cause abdominal hematoma?,Subcapsular hepatic hematoma,Liver cysts,Gallstones,Hepatitis,Subcapsular hepatic hematoma
Which of the following increases the risk of preeclampsia?,Multiparity,First pregnancy,Advanced maternal age,Nulliparity,Advanced maternal age
What syndrome includes hemolysis, elevated liver enzymes, and low platelet count in a pregnant woman?,HELLP syndrome,Antiphospholipid syndrome,Gestational diabetes,Chorioamnionitis,HELLP syndrome
What is the term for pregnancy-related hypertension that develops after 20 weeks without proteinuria?,Gestational hypertension,Preeclampsia,Eclampsia,Chronic hypertension,Gestational hypertension
What is the connection between maternal sleeping position and pregnancy complications?,Supine hypotension can exacerbate preeclampsia,Prone position causes eclampsia,Left side sleeping increases UTI,Right side sleeping causes HELLP,Supine hypotension can exacerbate preeclampsia
Which complication involves abruptio placentae and maternal consumptive coagulopathy?,Severe preeclampsia,Gestational diabetes,Hyperemesis gravidarum,Placenta previa,Severe preeclampsia
What increases the risk for maternal mortality in intestinal obstruction during pregnancy?,Delayed diagnosis and treatment,Early diagnosis,Young maternal age,Mild symptoms,Delayed diagnosis and treatment
What is an uncommon but serious complication of HELLP syndrome involving the kidney?,Acute renal cortical necrosis,Renal calculi,Nephrotic syndrome,Chronic kidney disease,Acute renal cortical necrosis
Which of the following is NOT a typical maternal complication of early pregnancy loss?,Preeclampsia,Ectopic pregnancy,Infection,Hemorrhage,Preeclampsia
What symptom differentiates eclampsia from other hypertensive disorders of pregnancy?,Seizures,Nausea,Proteinuria,Edema,Seizures
Which pregnancy complication entails progressive increase in lumbar lordosis causing neurological symptoms?,Physiological postural changes,Uterine torsion,Preeclampsia,Gestational diabetes,Physiological postural changes
What is the most common time frame for occurrence of early pregnancy loss?,First trimester,Second trimester,Third trimester,Peripartum,First trimester
What complication of pregnancy is characterized by abdominal pain, jaundice, and elevated liver enzymes?,Acute fatty liver of pregnancy,Gestational diabetes,Hyperemesis gravidarum,Placenta previa,Acute fatty liver of pregnancy
Which maternal complication has an increased risk for recurrent episodes in subsequent pregnancies?,Eclampsia,Gestational diabetes,Uterine rupture,Placenta previa,Eclampsia
What is the typical maternal fatality rate range in eclampsia cases?,8 to 36%,1 to 5%,50 to 60%,Less than 1%,8 to 36%
Which of the following is a rare but fatal complication of severe preeclampsia?,Hepatic rupture,Gestational diabetes,UTI,Uterine prolapse,Hepatic rupture
Which maternal complication is associated with proteinuria over 4 grams per day?,Severe preeclampsia,Mild preeclampsia,Gestational diabetes,Uterine rupture,Severe preeclampsia
Which maternal symptom is a hallmark of severe preeclampsia?,Visual disturbances,Breast tenderness,Leg cramps,Nausea,Visual disturbances
What is the common treatment to manage hypertension in pregnancy to prevent maternal complications?,Antihypertensives like labetalol or nifedipine,Insulin therapy,Steroid administration,Diuretics,Antihypertensives like labetalol or nifedipine
Which of the following is a significant risk for maternal acute fatty liver of pregnancy?,Hypoglycemia and coagulopathy,Hypertension,Diabetes,Thyroid dysfunction,Hypoglycemia and coagulopathy
What neurological disorder is increased in occurrence years after eclampsia?,Epilepsy,Parkinson's,Multiple sclerosis,Alzheimer's,Epilepsy
Which maternal complication involves platelet consumption and widespread clotting?,Disseminated intravascular coagulation,Pulmonary embolism,Uterine rupture,Placenta previa,Disseminated intravascular coagulation
What is a major cause of maternal death in eclampsia?,Intracranial hemorrhage,Pulmonary embolism,Cardiac arrest,Renal failure,Intracranial hemorrhage
Which maternal medication is administered for seizure prophylaxis in eclampsia?,Magnesium sulfate,Phenytoin,Diazepam,Carbamazepine,Magnesium sulfate
What is a major renal complication seen in severe preeclampsia?,Acute tubular necrosis,Renal calculi,Glomerulonephritis,Interstitial nephritis,Acute tubular necrosis
Which complication is an emergency with high maternal mortality in obstructed labor?,Uterine rupture,Preeclampsia,Gestational diabetes,Placenta previa,Uterine rupture
Which pregnancy condition is characterized by proteinuria without hypertension?,Chronic kidney disease,Preeclampsia,Gestational hypertension,Diabetes,Chronic kidney disease
What pregnancy complication involves widespread microangiopathy leading to hemolysis?,HELLP syndrome,Eclampsia,Gestational diabetes,Placenta previa,HELLP syndrome
Which of these is a common neurological complication secondary to eclamptic seizures?,Intracranial hemorrhage,Bell palsy,Trigeminal neuralgia,Sciatica,Intracranial hemorrhage
Which organ is primarily affected in acute fatty liver of pregnancy?,Liver,Kidney,Pancreas,Spleen,Liver
What is a serious maternal complication related to excess IV fluids in preeclampsia?,Pulmonary edema,Hypotension,Uterine rupture,Gestational diabetes,Pulmonary edema
Which maternal complication requires immediate delivery to prevent mortality?,Severe preeclampsia,Ectopic pregnancy,Hyperemesis gravidarum,Placental cyst,Severe preeclampsia
What clinical sign indicates disseminated intravascular coagulation in pregnancy?,Bleeding and thrombocytopenia,Hypertension,Proteinuria,Fetal growth cessation,Bleeding and thrombocytopenia
Which symptom suggests acute abdomen in pregnancy?,Severe abdominal pain,Early nausea,Backache,Urinary frequency,Severe abdominal pain
What is the effect of relaxin hormone during pregnancy?,Connective tissue remodeling,Increase blood glucose,Stimulate uterine contractions,Suppress immune response,Connective tissue remodeling
Which maternal complication is associated with postpartum hemorrhage?,Acute fatty liver of pregnancy,Eclampsia,Gestational diabetes,Preeclampsia,Acute fatty liver of pregnancy
Which complication is common following rupture of uterine scar during pregnancy?,Uterine rupture,Placental abruption,Gestational diabetes,Preeclampsia,Uterine rupture
What is the typical platelet count cutoff for thrombocytopenia in HELLP syndrome?,Less than 100000 per microliter,Less than 50000 per microliter,Less than 200000 per microliter,Less than 150000 per microliter,Less than 100000 per microliter
Which of the following is a fetal complication that also impacts maternal management in preeclampsia?,Intrauterine growth restriction,Fetal macrosomia,Fetal hydrops,Congenital anomalies,Intrauterine growth restriction
Which maternal complication can present with oliguria and acute renal failure during pregnancy?,Severe preeclampsia,Gestational diabetes,Hemolytic anemia,Placenta previa,Severe preeclampsia
What pregnancy complication is commonly complicated by placental abruption?,Severe preeclampsia,Ectopic pregnancy,Molar pregnancy,Gestational diabetes,Severe preeclampsia
Which of these is the most effective way to control seizures in eclampsia?,Magnesium sulfate,Diazepam,Phenytoin,Carbamazepine,Magnesium sulfate
What is a clinical hallmark of preeclampsia?,Hypertension and proteinuria,Hypotension and anemia,Mild headache,Increased fetal movements,Hypertension and proteinuria
What disorder should be considered when HELLP syndrome features overlap but with atypical presentation?,Thrombotic thrombocytopenic purpura,Placenta previa,Preeclampsia,Gestational diabetes,Thrombotic thrombocytopenic purpura
Which of the following is NOT considered a maternal complication of pregnancy trauma?,Gestational diabetes,Uterine rupture,Placental abruption,Hypovolemic shock,Gestational diabetes
What is the primary cause of pulmonary edema in severe preeclampsia?,Capillary leak and myocardial dysfunction,Infection,Asthma,Pulmonary embolism,Capillary leak and myocardial dysfunction
Which maternal complication may cause intrauterine fetal death due to placental insufficiency?,Severe preeclampsia,Gestational diabetes,Hyperemesis gravidarum,Uterine prolapse,Severe preeclampsia
What major complication in eclampsia is associated with an increased risk of future epilepsy?,Recurrent seizures during pregnancy,Hypertension,Proteinuria,Gestational diabetes,Recurrent seizures during pregnancy
What is the primary cause of acute renal failure in pregnancy complicated by preeclampsia?,Renal vasospasm leading to ischemia,Autoimmune nephritis,Urinary tract infection,Nephrolithiasis,Renal vasospasm leading to ischemia
Which of the following maternal complications involves platelet consumption causing bleeding risk?,Disseminated intravascular coagulation,Hyperemesis gravidarum,Uterine rupture,Preeclampsia,Disseminated intravascular coagulation
What pregnancy complication is indicated by elevated liver enzymes and right upper quadrant pain?,HELLP syndrome,Preeclampsia,Gestational diabetes,Uterine rupture,HELLP syndrome
Which maternal symptom is suggestive of severe preeclampsia?,Headache and visual disturbances,Mild fatigue,Weight gain,Back pain,Headache and visual disturbances
What complication is characterized by a platelet count less than 100,000 per microliter in pregnancy?,HELLP syndrome,Gestational diabetes,Uterine rupture,Eclampsia,HELLP syndrome
Which maternal complication has the highest mortality during pregnancy?,Eclampsia,Uterine rupture,Gestational diabetes,Placenta previa,Eclampsia
What postpartum complication can arise from acute fatty liver of pregnancy?,Massive hemorrhage,Renal failure,Pulmonary embolism,Preeclampsia,Massive hemorrhage
Which is a typical maternal complication of intestinal obstruction during pregnancy?,High maternal and fetal mortality,Gestational diabetes,Preeclampsia,Hypertension,High maternal and fetal mortality
What is the hallmark of eclampsia?,Seizures following preeclampsia,Mild hypertension,Uterine tenderness,Oligohydramnios,Seizures following preeclampsia
Which of the following is a predisposing factor for maternal urinary tract infections in pregnancy?,Physiological urinary stasis,Hyperglycemia,Hypotension,Increased immunity,Physiological urinary stasis
What is the primary hormonal cause of ligamentous changes in pregnancy?,Relaxin,Estrogen,Progesterone,Testosterone,Relaxin
How is magnesium sulfate administered to manage eclampsia?,Intravenous loading followed by maintenance doses,Oral administration only,Subcutaneous injection,Intramuscular injection,Intravenous loading followed by maintenance doses
Which maternal complication causes proteinuria greater than 5 grams per day?,Severe preeclampsia,Mild preeclampsia,Gestational diabetes,Uterine rupture,Severe preeclampsia
Which maternal complication is characterized by severe hemolysis and thrombocytopenia and can be confused with HELLP syndrome?,Thrombotic thrombocytopenic purpura,Preeclampsia,Eclampsia,Uterine rupture,Thrombotic thrombocytopenic purpura
Which maternal complication is strongly associated with placental abruption?,Disseminated intravascular coagulation,Preeclampsia,Uterine rupture,Gestational diabetes,Disseminated intravascular coagulation
What maternal symptom often precedes eclamptic seizures?,Severe hypertension and headaches,Mild nausea,Mild hypertension,Fatigue,Severe hypertension and headaches
Which organ is at the highest risk of infarction and rupture in severe preeclampsia?,Liver,Kidney,Heart,Lung,Liver
Which of the following conditions is the least likely to cause preeclampsia?,Uterine fibroids,Molar pregnancy,Gestational diabetes,Chronic hypertension,Uterine fibroids
What is the most common cause of death in pregnancy complicated by eclampsia?,Intracranial hemorrhage,Myocardial infarction,Stroke,Pulmonary embolism,Intracranial hemorrhage
Which complication of pregnancy may cause cortical blindness in the mother?,Eclampsia,Preeclampsia,Gestational diabetes,Placenta previa,Eclampsia
Which of the following maternal conditions increases risk for intrauterine fetal death?,Severe preeclampsia,Gestational diabetes,Uterine fibroids,Maternal anemia,Severe preeclampsia
Which maternal condition in pregnancy is characterized by severe hypertension and proteinuria but no seizures?,Preeclampsia,Eclampsia,Gestational diabetes,Placenta previa,Preeclampsia
What is the maternal risk with untreated eclampsia?,Permanent CNS damage and death,Mild hypertension,Gestational diabetes,Placenta previa,Permanent CNS damage and death
Which of the following pregnancy complications is primarily diagnosed by elevated liver enzyme levels?,HELLP syndrome,Gestational diabetes,Preeclampsia,Placenta previa,HELLP syndrome
Which complication is a direct consequence of vasospasm and endothelial dysfunction in the kidney during preeclampsia?,Acute renal failure,Urinary tract infection,Gestational diabetes,Pyelonephritis,Acute renal failure
